talk	notarget	int	string	float	thing
DoTalkEat_Item_LongEgg					Saya sedang makan telur naga
DoTalkEat_Item_FengEgg					Saya sedang makan telur phoenix
DoTalkEat_Item_DragonShit					Saya sedang makan Tianlongsha
DoTalkEat_Item_Jiaozi					Saya sedang makan pangsit
DoTalkEat_Item_BossFeng_Meat					Aku sedang memakan daging dan darah burung phoenix yang ganas
DoTalkEat_Item_BossLong_Meat					Saya sedang memakan daging dan darah naga
DoTalkEat_Item_BossZhuLong_Meat					Saya makan daging dan darah asli
DoTalkEat_Item_Cake					Saya sedang makan pancake
DoTalkEat_Item_MonsterBlood					Aku sedang memakan darah roh iblis
DoTalkEat_Item_EarthEssence					Saya mengambil cairan roh ibu bumi
DoTalkEat_Item_SilverGrit					Saya sedang makan pasir kristal dingin
DoTalkEat_Item_CopperGrit					Saya sedang makan pasir tembaga api
DoTalkEat_Item_Cinnabar					Aku sedang makan cinnabar
DoTalkEat_Item_LingMuXueJie					Saya meminum Lingmu Xanax
DoTalkEat_Item_EarthEssence_1					Aku sedang mengonsumsi afrodisiak
DoTalkEat_Item_EarthEssence1_1					Saya mengonsumsi myeloid
DoTalkEat_Item_Healroot					Saya sedang mengonsumsi herbal
DoTalkEat_Item_Mint					Saya sedang makan Qingxincao
DoTalkEat_Item_MagicHerb					Aku sedang makan lucidum
DoTalkEat_Item_Laxative					Aku sedang mengalami katarsis
CantEat_Item_SnakeGallbladder	Saya tidak dapat menemukan empedu ular untuk dimakan				
CantEat_Item_BearGallbladder	Saya tidak dapat menemukan empedu beruang untuk dimakan				
CantEat_Item_RedGinseng	Saya tidak dapat menemukan ginseng merah untuk dimakan				
CantEat_Item_PurpleGanodermaLucidum	Saya tidak dapat menemukan Zizhi untuk dimakan				
CantEat_Item_TuEssence	Saya tidak dapat menemukan ekstrak oker untuk dimakan				
CantEat_Item_HuoEssence	Saya tidak dapat menemukan buah merah untuk dimakan				
CantEat_Item_ShuiEssence	Saya tidak dapat menemukan sesuatu yang berwarna untuk dimakan				
CantEat_Item_JinEssence	Saya tidak dapat menemukan buah Langya untuk dimakan				
CantEat_Item_MuEssence	Saya tidak dapat menemukan kayu mati atau tanaman anggur untuk dimakan				
CantEat_Item_LifeStream	Saya tidak dapat menemukan sumber umur panjang untuk dimakan				
CantEat_Item_LongEgg	Saya tidak dapat menemukan telur naga untuk dimakan				
CantEat_Item_FengEgg	Aku tidak dapat menemukan telur phoenix untuk dimakan				
CantEat_Item_DragonShit	Aku tidak dapat menemukan pasir Tianlong untuk dimakan				
CantEat_Item_Jiaozi	Aku tidak dapat menemukan pangsit untuk dimakan				
CantEat_Item_BossFeng_Meat	Aku tidak dapat menemukan daging dan darah burung phoenix yang ganas untuk dimakan				
CantEat_Item_BossLong_Meat	Aku tidak dapat menemukan daging dan darah naga untuk dimakan				
CantEat_Item_BossZhuLong_Meat	Aku tidak dapat menemukan daging dan darah aslinya untuk dimakan				
CantEat_Item_Cake	Aku tidak dapat menemukan roti untuk dimakan				
CantEat_Item_MonsterBlood	Aku tidak dapat menemukan darah iblis untuk dimakan				
CantEat_Item_EarthEssence	Aku tidak dapat menemukan cairan roh ibu bumi untuk dimakan				
CantEat_Item_SilverGrit	Aku tidak dapat menemukan pasir kristal dingin untuk dimakan				
CantEat_Item_CopperGrit	Aku tidak dapat menemukan pasir tembaga api untuk dimakan				
CantEat_Item_Cinnabar	Aku tidak dapat menemukan cinnabar untuk dimakan				
CantEat_Item_LingMuXueJie	Saya tidak dapat menemukan Lingmu Xuejie untuk dimakan				
CantEat_Item_EarthEssence_1	Aku tidak dapat menemukan lemak sumsum untuk dimakan				
CantEat_Item_EarthEssence1_1	Aku tidak dapat menemukan myeloid untuk dimakan				
CantEat_Item_Healroot	Aku tidak dapat menemukan ramuan apa pun untuk dimakan				
CantEat_Item_Mint	Aku tidak dapat menemukan rumput untuk dimakan				
CantEat_Item_MagicHerb	Aku tidak dapat menemukan rumput ajaib untuk dimakan				
CantEat_Item_Laxative	Aku tidak dapat menemukan apa pun untuk dimakan				
Leave1					"{0}, perhatikan keselamatan di jalan"
Leave2					Segera kembali lagi, {0}
Leave3					Selamat jalan, {0}
Back1					{0}, Anda akhirnya kembali
Back2					Selamat datang di rumah, {0}
Back3					Aku sangat merindukanmu, {0}
NotBack1					{0}Kenapa kamu belum kembali lagi?
NotBack2					{0}Apa yang sedang kamu lakukan?
NotBack3					Aku tidak tahu apa yang terjadi pada {0}
BackComa1					{0}, ada apa denganmu?
BackComa2					{0}Butuh bantuan
BackComa3					{0}Tunggu
SleepHelp1					{0}, semoga cepat sembuh
SleepHelp2					{0}, semoga cepat sembuh
SleepHelp3					{0}, semoga cepat sembuh
Lacrimosa1		...			
Lacrimosa2		...			
Lacrimosa3		...			
QiGan_FullTalk	Auraku telah mencapai batas atas				
NeiDan_FullTalk	Ramuan kekaisaranku telah mencapai batas atasnya				
HuTi_FullTalk	Perlindungan tubuhku telah mencapai batas atas				
LingZhi_FullTalk	Kecerdasanku telah mencapai batasnya				
ShuFa_FullTalk	Sihirku telah mencapai batasnya				
