Key	Value
[NAMA]见状大怒，直接当空施展仙法，逼迫妖邪露面。双发在天际各展神通，血战当场。然而没想到的是，[NAMA]的修为不足，竟然败于妖邪之手。虽然妖邪因此惊走，但此举也使得[NAMA]声名大损。	[NAMA] menjadi marah dan menghasilkan Keajaiban untuk memaksa orang jahat muncul. Mereka bertempur di angkasa, itu adalah konflik berdarah.[NAMA]'Namun, budidaya saja tidak cukup dan hilang di tangan orang jahat. Meskipun orang jahat masih merasa takut[NAMA]'reputasinya menurun.
万	Sepuluh Ribu
亿	Seratus Juta
{0}大显神通，加热了此地的空气，灾难缓解了不少。	{0} melakukan keajaiban, udara memanas, dan bantuan bencana cukup terbantu.
{0}与群众进行讨论，安抚了一下他们。{0}悟道了一些处世之道。	{0} berdiskusi dengan massa untuk menenangkan mereka.{0} mempelajari beberapa keterampilan sosial.
{0}想使用蛮力处理石桥，但收效甚微。	{0} ingin menggunakan kekerasan, tapi itu tidak terlalu efektif.
{0}对众人说：“你们都来做我们的信徒，我就把桥修好！”众人认为{0}在骗人，没有理他。	{0} berkata kepada orang banyak: "Bergabunglah dengan kami dan jembatan itu akan diperbaiki dalam waktu singkat!" pikir orang banyak{0} menipu mereka dan mengabaikannya.
{0}动脑筋寻找搭桥的方法，但巧妇难为无米之炊。	{0} mencoba memikirkan cara untuk membangun jembatan, tetapi tidak memiliki sarana untuk membangunnya.
{0}带了些食物，但附近无人需要食物。	{0} membawakan beberapa Makanan, tetapi tidak ada yang membutuhkannya.
{0}带了些灵石，但附近无人认识灵石。	{0} membawa beberapa Batu Roh, tapi tak seorang pun di dekatnya yang tahu apa itu.
{0}带了些木材，但石桥使用木头还不足以支撑。	{0} membawakan beberapa Kayu, tetapi kamu tidak dapat membangun jembatan batu dengan Kayu.
{0}稍微拿了点石料，并命令弟子将桥修好。此事正好被路过的官人看见，他对{0}赞许有加。	{0} mengambil sedikit Batu dan memerintahkan murid-muridnya untuk memperbaiki jembatan. Seorang pejabat yang lewat memuji{0}.
[NAMA]观摩良久，似乎略有所悟	[NAMA] diamati selama beberapa saat dan tampaknya telah memperoleh pemahaman.
[NAMA]静坐观想，从中参悟良多	[NAMA] duduk bermeditasi dan memperoleh inspirasi besar.
不分高低！	Seri Pertarungan!
平	Menggambar
%s 与 %s 不分高低！	%s dan %s bertanding seri!
灵石伴随附近地面的养分一起被地母石碑收入其中，眨眼之间便凝聚出了{0}枚灵石，同时也多出一丝不祥的气息。	Prasasti Ibu Bumi menyerap Batu Roh bersama dengan sumber daya di tanah terdekat, lalu memadatkannya menjadi Batu Roh{0} Spirit Stones dengan atmosfir yang mengancam dalam sekejap.
[NAMA]生长过程中，似乎与环境达成某种契合，灵性活泼了许多！	Ketika[NAMA] sedang berkembang, sepertinya semacam kesepakatan telah dicapai dengan lingkungan dan sebagai hasilnya, Berkahnya meningkat pesat!
[NAMA]的元神随着阴阳流转，对其中蕴含的大道有了更深的体悟	[NAMA] mengalir dengan perputaran Yin dan Yang, mendapatkan pemahaman yang lebih dalam tentang aturan yang mendalam.
[acak_label=deskripsi_waktu,des_tempat,des_cuaca]，[nama]在[keberatan_tindakan][keberatan]时，突然心中一动，捕捉到一丝灵感，居然成功创造出一件艺术品。	[acak_label=deskripsi_waktu,des_tempat,des_cuaca], ketika[keberatan_tindakan] [keberatan], [nama] tiba-tiba merasakan perubahan, meraih secercah inspirasi dan berhasil menciptakan sebuah item.
零	Nol
[NAMA]神识沉浸其中，霎那犹如千年，从中悟出万千大道	[NAMA] asyik bermeditasi ketika detik-detik terasa seperti bertahun-tahun, mendapatkan pemahaman tertinggi tentang aturan-aturan mendalam.
[NAMA]生长过程中，似乎沾染了一些杀伐之气，煞性增强了许多！	Ketika[NAMA] sedang tumbuh, nampaknya telah ternoda oleh niat membunuh, dan Kutukannya telah meningkat pesat!
{0}大显神通，又降低了温度，灾难加剧了。	{0} melakukan keajaiban, suhu semakin turun, dan bencana semakin parah.
[NAMA]突然摇了摇枝叶，似乎在释放善意。灵性交感中的众人似乎都觉得心境一亮，似乎通明了许多。	[NAMA] mengguncang dahan, seolah menyebarkan niat baik. Mereka yang berada dalam Resonansi Qi merasa mereka telah memperoleh banyak pemahaman.
负	dikurangi
[NAMA]脑海中出现了真武大帝年幼时参悟大道的景象。恍惚之间，身边多了一张神符，应该是真武神念所化。	[NAMA] menggambarkan bagaimana Prajurit Muda Sempurna biasa bermeditasi dan mencapai pencerahan. Kemudian sebuah jimat muncul secara tiba-tiba, mungkin muncul dengan kehendak ilahi.
代理人地给了他们一点灵石，说道“算了算了，这些灵石你们拿去修炼吧，从他们身上也拿不到什么好东西。”散修看了他一眼，拿了灵石就走了。那几个农民其实是{0}的居民，有大约{1}人成为了我们的信徒。	Agen itu memberi mereka beberapa Batu Roh dan berkata, “gunakan Batu Roh ini untuk berlatih. Anda tidak bisa mendapatkan sesuatu yang baik darinya.” Kultivator individu memandangnya, mengambil Batu Roh, dan pergi. Para petani itu sebenarnya adalah penduduk{0}, tentang{1} dari mereka menjadi Pengikut kami.
其中已没有了回应。	Tidak ada tanggapan.
鸿蒙	Luasnya Luar Biasa
混沌	Kekacauan
玄黄	Langit dan Bumi
太昊	Tak Terhingga Tanpa Batas
太初	Purba
元初	Purba Purba
太始	Permulaan Dunia
玄穹	Tanpa batas
通天	Mantera
玄德	Xuan De
造化	Takdir
万灵	Panteon
紫薇	kain sutera myrtle
周天	Surga yang Terbatas
阴阳	Yin Yang
六道	Enam Jalan
%s真人	Spiritualis %s
结丹超品，冠绝当世！	Pembentukan inti tertinggi, inilah yang terbaik!
结丹一品！	pembentukan inti Tingkat I!
结丹上品！	pembentukan inti Tingkat Atas!
结丹中品！	pembentukan inti Tingkat Menengah!
结丹下品！	pembentukan inti Tingkat Bawah!
[NAMA]突然摇了摇枝叶，似乎在释放善意。可惜附近并没有人修炼，无人察觉此事。	[NAMA] mengguncang dahan, seolah menyebarkan niat baik. Sayangnya, tidak ada orang di sekitar yang sedang berkultivasi, jadi tidak ada orang yang menyaksikannya.
顺着石匣的裂缝，[NAMA]轻松的打开了匣子	Mengikuti retakan di peti batu,[NAMA] mampu membukanya.
打开的石匣中发现一本小册子和一枚丹药，翻开一看竟然是一本可以修行的功法。	Di dalam peti itu ada buku manual dan pil. Membolak-balik manual tersebut mengungkapkan bahwa itu merinci sebuah Hukum untuk pengembangan diri.
[NAMA]施展神通，阻止了天灾蔓延。并救助灾民，重新安定。[NAMA]之善名广为流传，收获了一些信仰与信徒。此举顺应天心，也为[NAMA]带来了一些功德。	[NAMA] memohon Keajaiban dan menghentikan penyebarannya. Mereka menyelamatkan pengungsi, mengembalikan perdamaian.[NAMA]'Reputasi baiknya dikenal luas dan mendapat banyak Kepercayaan dan Pengikut karenanya. Ini sejalan dengan Hati Surgawi, dan seterusnya[NAMA] memperoleh banyak Kebajikan karenanya.
石匣非常坚固，不借助工具的话几乎不可能打开。	Peti batu itu sangat tahan lama. Jika seseorang mencoba membuka peti itu tanpa bantuan alat, maka mustahil untuk membukanya.
代理人发挥口才，尝试说服散修。但散修好歹也是有法力之人，将代理人打晕在地。过了半天代理人才醒来。	Agen tersebut menggunakan kemampuan persuasifnya untuk mencoba membujuk individu kultivator. Namun, penggarap itu mengusir agen tersebut. Agen itu bangun beberapa saat kemudian.
[NAMA]突然散发出凌冽的气息。灵性交感中的众人猝不及防，心境皆受波及。	[NAMA] mengeluarkan aura suram. Suasana hati mereka yang berada dalam Resonansi Qi akan terpengaruh.
一场波及整个修行界的天地异变来临了	Perubahan besar telah terjadi di dunia kultivator.
附近的妖气愈发浓郁，似乎是地母石碑的不祥之气所致。	Nafas iblis di dekatnya semakin dalam. Tampaknya hal ini disebabkan oleh atmosfer yang mengancam dari Prasasti Ibu Pertiwi.
%s心境短期内降低了%s点。	%Kondisi Mental s menurun sebesar %s untuk saat ini.
代理人装作路人，绕路走了过去，无事发生	Para agen mengambil jalan memutar untuk menghindari mereka. Tidak terjadi apa-apa.
[NAMA]突然散发出凌冽的气息。幸好周围无人修炼，并未受其影响。	[NAMA] mengeluarkan aura suram. Untungnya, tidak ada seorang pun di sekitar yang berusaha untuk terpengaruh.
[NAMA]小心翼翼的打开了石匣，其中整整齐齐摆放着几本小册子，几瓶丹药，还有一块星髓。	[NAMA] membuka peti batu dengan hati-hati dan menemukan sejumlah manual di dalamnya, sejumlah ramuan dan inti lumina.
[NAMA]悄悄追踪这几位长老的踪迹。发现这是一群{0}的内门长老在掳掠根基不错的凡人修炼魔功。\n[NAMA]表明来意，愿意帮忙，只是需要分润一些好处。{0}的长老略一沉吟答应了[NAMA]入伙，短短几日，[NAMA]觉得修为有了长足进步。	[NAMA] diam-diam melacak jejak para Sesepuh ini. Ditemukan bahwa kelompok ini{0}'Para tetua sedang mempraktikkan sihir mereka pada rakyat jelata yang baik.\n[NAMA] menyatakan alasannya[DIA] datang dan itu[DIA] bersedia membantu untuk ikut serta dalam aksi tersebut. Para tetua dari{0} bergumam di antara mereka sendiri dan setuju untuk membiarkan[NAMA] bergabung. Dalam beberapa hari[NAMA] menemukan peningkatan besar dalam budidaya.
行走天下所得	Semua yang telah diperoleh seseorang di bumi ini
灵石化为灵气被吸纳进了地母石碑，附近的土地被灵气滋润了。	Batu Roh diubah menjadi Qi dan diserap oleh Prasasti Ibu Bumi, memberi nutrisi pada tanah di dekatnya.
[NAMA]脑海中出现了真武大帝练习御剑的景象。恍惚之间，身边多了一柄飞剑，应该是真武神念所化。	[NAMA] menggambarkan bagaimana Prajurit Muda yang Sempurna biasa berlatih pengendalian pedang. Kemudian sebuah pedang muncul secara tiba-tiba, mungkin muncul dengan kehendak ilahi.
玄天	Nimbus
剑气锐利无比，神魔都无法抵挡。	Aura pedang sangat tajam sehingga dewa dan iblis pun tidak dapat mempertahankannya lagi.
[NAMA]悄悄追踪这几位长老的踪迹。发现这是一群{0}的内门长老在掳掠根基不错的凡人修炼魔功。\n[NAMA]表明来意，愿意帮忙，只是需要分润一些好处。{0}的长老略一沉吟答应[NAMA]的请求。[NAMA]面色一喜，却没想到对面突然出手偷袭，[NAMA]瞬间被重创，拼了全力才逃得性命。	[NAMA] diam-diam melacak jejak para Sesepuh ini. Ditemukan bahwa kelompok ini{0}'Para tetua sedang mempraktikkan sihir mereka pada rakyat jelata yang baik.\n[NAMA] menyatakan alasannya[DIA] datang dan itu[DIA] bersedia membantu untuk ikut serta dalam aksi tersebut. Para tetua dari{0}bergumam di antara mereka sendiri dan menerima permintaan Anda. Seringai menyebar[NAMA]'wajahnya, tapi kemudian lawan melancarkan serangan mendadak dan[NAMA] menerima kerusakan besar sebelum melarikan diri.
[NAMA]生长过程中，积累的灵气突然散化入枝干，灵性大增！	[NAMA]'Qi yang telah terakumulasi saat tumbuh mengalir ke cabang-cabang, Berkahnya meningkat pesat!
地母石碑的不祥之气消散了些许，附近的妖气也随之散去。	Suasana mengancam dari Prasasti Ibu Bumi semakin berkurang. Nafas iblis di dekatnya juga menghilang.
[NAMA]小心翼翼的落入山涧的遗迹之中，此地似乎是一种巨大的，与当今建筑风格迥异的神殿。神殿两侧布满巨大的神像，正中有一块无字石碑。[NAMA]以神念探入石碑查看，竟然从中获取一套前所未见的功法，似乎是典籍中所传的神道修行之法！	[NAMA] memasuki jurang…dan mendapati diri mereka berada di sebuah kuil besar dengan gaya yang sangat berbeda dengan bangunan kontemporer. Ada patung-patung besar di kedua sisi aula dan sebuah Prasasti batu di tengahnya.[NAMA] memeriksa Prasasti dan menyadari Hukum yang belum pernah terlihat sebelumnya…Mungkinkah ini Hukum Shendao?!
随着[NAMA]的神念将石碑中的信息激活，整座神殿发生了剧烈的震动，转眼之间就化为一座废墟。[NAMA]连忙施展遁法逃脱此地。	Sebagai[NAMA] mengaktifkan Prasasti, kuil mulai bergetar hebat, berubah menjadi reruntuhan.[NAMA] melarikan diri dengan cepat.
%s个半小时	%s dan setengah jam
[acak_label=deskripsi_waktu,des_tempat,des_cuaca]，[nama]在给[hename][keberatan_tindakan][keberatan]时，突然心中一动，对%s一道又有感悟。	[acak_label=deskripsi_waktu,des_tempat,des_cuaca], selama[keberatan_tindakan], [nama] tiba-tiba merasakan perubahan dan mendapat pencerahan[hename].
半个小时	setengah jam
[NAMA]四处游荡时发现此处物产颇丰，于是收集一些特产运回了门派。	[NAMA] ditemukan dengan mengembara di sekitar tanah bahwa hasil bumi di sini cukup melimpah, jadi[DIA] memilih beberapa makanan khas setempat dan kembali.
{0}大显神通，直接修复了一些人家的房屋，灾难缓解了不少。	{0} melakukan mukjizat, memulihkan beberapa rumah, dan bantuan bencana cukup banyak terbantu.
%s个小时	%jam
[NAMA]生长过程中，突然像受了某些刺激，猛烈吸收起周围的灵气，煞性大增！	[NAMA] tampak terstimulasi secara tiba-tiba saat tumbuh, menyedot Qi dengan keras, dan mengalami peningkatan Kutukan yang signifikan.
[NAMA]对着神秘洞穴祈求，希望能获得一些修行界的秘闻。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了[NAMA]的祈求。	[NAMA] berdoa di depan gua misterius itu dan berharap mendapatkan beberapa rahasia Latihan. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab[NAMA]'s doa.
%s对着神秘洞穴祈求，希望能获得一些修行界的秘闻。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了%s的祈求。	%Saya berdoa di depan gua misterius itu dan berharap mendapatkan beberapa rahasia Latihan. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab doa %s.
神秘洞穴	Gua Misterius
{0}尝试安抚他们，展现了处世之道：“那好啊，你们叫它的名字，看它答应谁？”果然，其中一人开始支支吾吾了。群众投来赞许的目光。	{0} mencoba menenangkan mereka melalui pertunjukan keterampilan sosial: "Ya? Sebut saja dengan namanya. Jika itu menjawab panggilan Anda, maka itu milik Anda." Benar saja, salah satu dari mereka mulai goyah. Semua orang sepertinya menyetujuinya.
{0}朝他们喊到：“区区一条狗有什么好争的？我拿走了！”威慑力十足，其中一人被吓得直接逃跑。另一个人开始也很慌张，但还是说狗是她的。{0}将狗还给了她。群众感到此处更加安定。	{0} berteriak kepada mereka: “Apa hebatnya seekor anjing? Aku ambil saja!” Seseorang begitu ketakutan sehingga mereka lari. Orang lain tampak ketakutan, namun mengatakan bahwa anjing itu adalah miliknya.{0} mengembalikan anjing itu padanya. Kerumunan merasa lebih aman tinggal di sini.
{0}朝他们喊到：“区区一条狗有什么好争的？”并摆出吓人的架势。“你是哪里来的，这狗可是我当年的嫁妆！”其中一个人说。另一个人说：“胡说，它明明就是我4岁开始养的。”争吵继续进行，依靠{0}现在的武力无法威慑住他们。	{0} berteriak pada mereka: “Apa hebatnya seekor anjing?” Dan berpose menakutkan. “Anjing ini adalah maharku!” Salah satu dari mereka berkata. Yang lain berkata: "Kakiku, aku mulai mengangkatnya ketika aku berumur 4 tahun." Pertengkaran berlanjut, jadi mengandalkan{0} kehebatan tidak akan cukup untuk mengintimidasi mereka sekarang.
{0}对众人说：“你们都来做我们的信徒，我送你们一人条狗！”但他们并不相信，只想争夺眼前这条狗。	{0} berkata kepada orang banyak: "Bergabunglah bersama kami dan Anda akan mendapat seekor anjing baru yang akan datang!" Namun mereka tidak mempercayainya, mereka hanya menginginkan anjing tertentu yang ada di depan mereka.
{0}说：“这样，我把这条狗拿回去养，生了小狗给你们一人一条怎么样？”他们并不相信，只想争夺眼前这条狗。	{0} berkata: "Bagaimana kalau begini, saya akan memelihara anjingnya dan memberi kalian masing-masing seekor anak anjing?" Namun mereka tidak mempercayainya, mereka hanya menginginkan anjing tertentu yang ada di depan mereka.
{0}带了些食物，喂给了狗。他们双方愣住了，不知道{0}在干嘛。	{0} membawakan beberapa Makanan dan memberikannya kepada anjing. Orang-orang yang bertengkar demi anjing itu sama-sama terdiam, sekarang tahu apa yang terjadi{0} sedang melakukan.
{0}拿了根木棍，想要给他们两人一人一棒。他们被吓跑了。	{0} mengambil tongkat, ingin menghajar mereka. Mereka ketakutan.
{0}拿了块石头，将狗一砖打死，说：“狗肉一人一半。”他们十分害怕，再也不敢闹事了。但民众有点害怕。	{0} mengambil sebuah batu, menghempaskan anjing itu dengan batu itu, dan berkata: “Daging anjing, satu orang, satu setengahnya.” Mereka tidak berani membuat masalah lagi. Namun kerumunan itu sedikit ketakutan.
[NAMA]没有收集到任何参悟。	[NAMA] tidak terinspirasi sama sekali.
[NAMA]想了想，还是决定离开了此处。	[NAMA] memikirkannya, lalu memutuskan untuk berangkat.
[NAMA]突然将积累的灵气化作灵氛弥漫开来。灵性交感之下，众人皆从中参悟良多。	[NAMA] mengeluarkan Qi yang telah terbangun. Mereka yang berada dalam Resonansi Qi telah terinspirasi olehnya.
%d秒	%d detik
%d分%d秒	%d menit %d detik
[NAMA]对着神秘洞穴祈求，希望能使附近的灵气浓郁一些。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了[NAMA]的祈求。	[NAMA] berdoa di depan gua misterius itu dan berharap dapat memusatkan sebagian Qi di sekitarnya. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab[NAMA]'s doa.
%s对着神秘洞穴祈求，希望能使附近的灵气浓郁一些。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了%s的祈求。	%Saya berdoa di depan gua misterius itu dan berharap dapat memusatkan sebagian Qi di sekitarnya. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab doa %s.
%.1f小时	%.1f Jam
{0}大显神通，又发动了一次小地震，灾难加剧了。	{0} melakukan mukjizat, terjadi gempa kecil lagi, dan bencana semakin parah.
[acak_label=deskripsi_waktu,des_tempat,des_cuaca]，[nama]这次做饭搞的一团糟，但[nama]却从中获益匪浅，对烹饪一道又有感悟。	[acak_label=deskripsi_waktu,des_tempat,des_cuaca], [nama] berhasil membuat makanan cukup berantakan kali ini, tapi keluar dari kekacauan itu semua[nama] berhasil mendapatkan beberapa wawasan tentang memasak.
%.1f天	%.1f Hari
[NAMA]突然将积累的灵气化作灵氛弥漫开来。可惜附近并没有人修炼，无人抓住这一机缘。	[NAMA] mengeluarkan Qi yang telah terbangun. Sayangnya, tidak ada orang di sekitar yang berkultivasi, jadi tidak ada yang memanfaatkan kesempatan beruntung ini.
[NAMA]突然煞性勃发，散发出一股强烈的吸力，灵性交感下，众人根本灵气竟被夺走些许。不过虽然略微有损修行，但也借机窥视到灵根气脉运行的奥妙，获得许多参悟。	[NAMA] meletus dalam energi terkutuk, menyebabkan kekuatan menyedot ke arahnya. Di bawah Resonansi Qi, Basis Qi orang-orang di sekitarnya tampaknya agak terkuras. Meski sedikit berbahaya bagi budidaya, mereka memperoleh Inspirasi dengan mengintip misteri di balik Akar Roh.
[NAMA]脑海中出现了真武大帝炼丹的景象。恍惚之间，身边多了一颗丹药，应该是真武神念所化。	[NAMA] membayangkan bagaimana Prajurit Muda yang Sempurna biasa berlatih alkimia. Kemudian obat mujarab muncul secara tiba-tiba, mungkin muncul dengan kehendak ilahi.
[NAMA]听闻此地的天地灵根成熟，于是前来收取。虽然[NAMA]门派与%s的关系并不怎样，但看守灵根的长老想起自家门派遭遇，只能强忍不满，一脸笑容的上来拜见，并将灵根成熟后的果实尽数给予了[NAMA]。	[NAMA] mendengar bahwa Akar Roh di sini sudah matang dan ingin memanennya. Meskipun[NAMA]'Sekte s tidak benar-benar memiliki hubungan apa pun dengan %s, tetapi tetua yang mengawasi Akar Roh memikirkan pengalaman Sektenya sendiri, tersenyum dan memberikan sebagian buahnya kepada[NAMA].
[NAMA]听闻此地的天地灵根成熟，于是前来收取。虽然%s已经被[NAMA]的门派征服，但奈何灵根早已成熟，已经被用完，也是无可奈何。天地灵根下次成熟还需%s天左右，[NAMA]可届时再来。	[NAMA] mendengar bahwa Akar Roh di sini sudah matang dan datang ke sini untuk memanennya. Meskipun %s telah ditaklukkan oleh[NAMA]'Di sekte ini, Akar Roh ternyata telah matang cukup lama dan sudah habis digunakan sekarang, dan tidak ada yang bisa dilakukan untuk mengatasinya. Diperlukan waktu sekitar %s hari agar Akar Roh matang kembali,[NAMA] mungkin akan kembali lagi nanti.
[NAMA]想要求取天地灵根，然而[NAMA]门派与%s的关系并不到位。[NAMA]刚刚靠近灵根所在之地，就被%s的弟子拦住了去路。	[NAMA] ingin mencari akar yang menghubungkan langit dan bumi, tapi[NAMA]'Hubungan sekte dengan %s tidak cukup berkembang untuk memungkinkannya. Sebagai[NAMA] sedang mendekati lokasi Akar yang menghubungkan langit dan bumi,[DIA] Law diblokir oleh murid %s.
[NAMA]想要求取天地灵根。考虑到[NAMA]门派与%s一直以来私交甚好，看守灵根的长老便将一颗灵根之果实给予[NAMA]。	[NAMA] ingin mencari Akar Roh yang menghubungkan langit dan bumi. Mengenai seberapa baik hubungan antara keduanya[NAMA]'s sekte dan %s, tetua yang mengawasi tanaman itu mengambil salah satu buahnya dan memberikannya[NAMA].
[NAMA]想要求取天地灵根。虽然[NAMA]门派与%s一直以来私交甚好，但毕竟天地灵根果实有限，看守灵根的长老便婉拒了[NAMA]的请求。天地灵根下次成熟还需%s天左右，[NAMA]可届时再来。	[NAMA] ingin mencari Akar Roh yang menghubungkan langit dan bumi. Meskipun[NAMA]'Sekte selalu menjaga hubungan baik dengan %s, namun buah dari tanaman ini terbatas, oleh karena itu tetua yang mengawasi tanaman tersebut ditolak.[NAMA]'permintaan itu. Tanaman memerlukan sekitar %s hari lagi agar buahnya matang,[NAMA] dapat kembali pada saat itu.
[NAMA]尽情放纵，十分舒适。获得了5日的好心情。	[NAMA] memiliki masa lalu yang indah. Suasana hati mereka akan bagus selama 5 hari ke depan.
[NAMA]受[HENAME]蕴养，竟然从枝干上凝结出了什么……	[NAMA] diasuh oleh[HENAME] dan pada dahan pohon ada sesuatu yang membeku…
[NAMA]悄悄追踪这几位长老的踪迹。发现这是一群{0}的内门长老在掳掠根基不错的凡人修炼魔功。\n[NAMA]含怒出手，毫不容情，不消的几个回合便将敌手尽数诛杀，拯救了这附近的居民。	[NAMA] diam-diam melacak jejak para Sesepuh ini. Ditemukan bahwa kelompok ini{0}'Para tetua sedang mempraktikkan sihir mereka pada rakyat jelata yang baik.\n[NAMA] membuat gerakan penuh amarah dan kurang belas kasihan. Setelah beberapa putaran, tidak ada musuh yang tersisa dan penduduk di dekatnya semuanya selamat.
[NAMA]悄悄追踪这几位长老的踪迹。发现这是一群{0}的内门长老在掳掠根基不错的凡人修炼魔功。\n[NAMA]含怒出手，毫不容情，双方苦斗半日，[NAMA]渐渐感到真气不济，暗暗叫苦。敌人却仿佛看穿了[NAMA]的窘境，合力一击击碎了[NAMA]的护体真气。[NAMA]鲜血狂喷，勉强护住心脉，逃离战场。但这群邪派妖人并不打算放过[NAMA]，他们循着气息一路追来。	[NAMA] diam-diam melacak jejak para Sesepuh ini. Ditemukan bahwa kelompok ini{0}'Para tetua sedang mempraktikkan sihir mereka pada rakyat jelata yang baik.\n[NAMA] membuat gerakan penuh amarah dan kurang belas kasihan. Kedua belah pihak berjuang keras selama setengah hari.[NAMA] perlahan merasa menginginkan Qi dan mulai menyesal telah mengambil tindakan. Musuh tampaknya telah berhasil menembusnya[NAMA]'kesulitannya dan menerobos[DIA] Penghalang Qi.[NAMA]'darahnya muncrat ke mana-mana.[DIA] berhasil melindungi[DIA] arteri utama sebagai[DIA] melarikan diri. Tapi kelompok iblis jahat ini tidak punya rencana untuk membiarkannya[NAMA] pergi, mereka mengikuti Qi-nya dan melanjutkan pengejaran.
[NAMA]对着神秘洞穴祈求，希望能获一些能力提升。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了[NAMA]的祈求。	[NAMA] berdoa di depan gua misterius itu dan berharap dapat meningkatkan kemampuan seseorang. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab[NAMA]'s doa.
%s对着神秘洞穴祈求，希望能获一些能力提升。神秘洞穴趁机提出一些要求，如果得到满足，它将会回应了%s的祈求。	%Dia berdoa di depan gua misterius dan berharap dapat meningkatkan kemampuan seseorang. Gua misterius itu tampaknya memiliki beberapa persyaratan sebelum bisa menjawab doa %s.
[NAMA]已经享受过神秘洞穴的馈赠了。	[NAMA] menikmati kebajikan dari gua misterius itu.
[NAMA]打开石匣，发现其中装有一瓶丹药。	[NAMA] membuka peti batu dan menemukan Elixir di dalamnya.
[NAMA]打开石匣，发现其中藏有一些珍贵的材料。	[NAMA] membuka peti batu dan menemukan Material berharga di dalamnya.
[NAMA]打开石匣，发现其中藏有一件古代奇珍，竟然可以镇压风水。	[NAMA] membuka peti batu dan menemukan harta karun di dalamnya yang dapat mempengaruhi Feng Shui.
[NAMA]打开石匣，竟然在其中发现一本书册。	[NAMA] membuka peti batu dan menemukan sebuah buku tebal di dalamnya.
[NAMA]打开石匣，竟然在其中发现一门神通。	[NAMA] membuka peti batu dan menemukan metode untuk melakukan Keajaiban di dalamnya.
[NAMA]打开石匣，竟然在其中发现一本秘籍。	[NAMA] membuka peti batu dan menemukan Manual di dalamnya.
[NAMA]打开石匣，瞬间一道七彩光华直冲云霄，这平凡无奇的石匣中竟然藏有一本上古失传的功法传承。	[NAMA] membuka peti batu dan semburan cahaya melesat ke langit. Ada sebuah manual yang merinci Hukum kuno yang hilang di dalamnya.
[NAMA]突然煞性大盛，散发出一股强烈的吸力。不过周围无人修炼，并未有人受其影响。	[NAMA]'Kutukan tiba-tiba meningkat, menyebabkan kekuatan kekerasan menyedot ke arahnya. Tidak ada seorang pun di sekitar yang melakukan budidaya, jadi tidak ada yang terpengaruh.
神秘洞穴正在要求祭祀，无法许愿	Gua Misterius membutuhkan Ritus. Tidak dapat membuat permintaan.
[NAMA]想了想，决定还是放弃对神秘洞穴许愿。	[NAMA] memikirkannya dan memutuskan untuk menyerah pada sumpah yang dibuat pada gua misterius itu.
[acak_label=deskripsi_waktu,des_tempat,des_cuaca]，[nama]这次烹饪大有收获，感觉自己的烹饪技艺更进一层。	[acak_label=deskripsi_waktu,des_tempat,des_cuaca], [nama] benar-benar terasa seperti[DIA] kemampuan memasak dibawa ke tingkat yang baru kali ini.
深度%s	Kedalaman %s
界间幻景·琅嬛书库	Rift Illusion: Perpustakaan Tak Tertandingi
灵玉吸收了一些灵气，忽然化作一道青光飞向附近，一只玄武身形显露了出来。	Giok spiritual menyerap sejumlah Qi, sebelum tiba-tiba berubah menjadi seberkas cahaya biru dan terbang di dekatnya, menampakkan bentuk Kura-kura Hitam.
学海之困：能力随道行的提高而降低。	Kebingungan: Kemampuan berkurang seiring dengan peningkatan pencapaian.
[NAMA]开了太一宝匣，取出其中的物件。	[NAMA] membuka Peti Mati Polaris dan mengambil barang-barang yang ditemukan di dalamnya.
界间幻景·空想之地	Rift Illusion: Tempat Fantasi
众口铄金：信徒越多能力越强，信徒越少能力越弱。	Dari Mulut ke Mulut: Kemampuan meningkat seiring dengan pengikut.
界间幻景·道渊	Ilusi Keretakan: Kedalaman Pengakuan Iman
唯道为尊：非金丹法修士能力大幅下降。	Orang Percaya Sejati: Penggarap tanpa Inti Emas menjadi jauh lebih lemah.
{0}只是将部分食物分给灾民。	{0} berbagi sebagian Makanan dengan para korban.
{0}想要安抚难民，但危机情况下嘴皮子还是不够实在。	{0} ingin membungkam para pengungsi, namun kabarnya hanya sampai sejauh ini ketika krisis terjadi.
{0}抓了一些难民，把食物强行给他们，只有少数人拿了食物。	{0} menyodorkan Makanan kepada para pengungsi, namun hanya sedikit yang mengambilnya.
{0}大张旗鼓地做了很多美食，放在路边，喊道：“加我们，食物免费拿！”因为在紧要关头，群众纷纷选择拿了食物。	{0} membuat banyak makanan enak, menaruhnya di pinggir jalan, dan berteriak: “Bergabunglah dengan kami dan makanannya gratis!” Banyak yang menyambar makanan karena masa-masa putus asa.
