Key	Value
蓝布	Kain Biru
阵枢：	Pilar:
消耗	Bahan habis pakai
采取处世手段解决问题，某些时候可以收获吸引力或影响值。	Menggunakan keterampilan sosial untuk memecahkan masalah terkadang dapat memperoleh daya tarik atau pengaruh.
无需	Tidak ada
确认领取仓库所有储存？\n{0}	Apakah Anda ingin mengklaim semua item di penyimpanan?\n{0}
紫布	Kain Ungu
请选择一个角色	Pilih karakter.
随机生成一个符咒	Hasilkan jimat acak.
{0}之墓	{0}Makam
工作计划是外门的核心策略模块，规定了外门弟子的工作优先级和重心。\n工作优先级越往右越低，可以进行高优先级工作时不会进行低优先级工作。\n[color=#9e6404][特别优先]可以将一个工作优先级提高到所有工作之上[/color]。	Jadwal kerja adalah fungsi strategis inti di mana Anda dapat menetapkan serangkaian prioritas bagi murid luar.\nPrioritas diurutkan dari kiri ke kanan. Tugas dengan prioritas lebih rendah hanya akan dilakukan jika tidak ada tugas lain yang dapat dilakukan dengan prioritas lebih tinggi.\n[color=#9e6404][Top Priority]memungkinkan suatu tugas didahulukan dari semua tugas lainnya[/color].
屠宰	Pembantaian
欲寂中求圣，必须达神国境后，在克己状态下保持心境300，神性大于20，持续{0:N1}天。角色悟性越高，需要持续的时间越长。	Untuk mencari pikiran 'suci', pertahankan kondisi mental pada 300 dan keilahian lebih tinggi dari 20 selama menahan diri setelah mencapai Kondisi Ilahi selama {0:N1} hari. Semakin besar kecerdasan karakter maka semakin lama waktu yang dibutuhkan untuk mencapai kondisi mental tersebut.
真炁消耗: {0:F2}/秒	Konsumsi Qi Sejati: {0:F2}/detik
不知道，但是我敢肯定，一定不是因为师兄你……	Aku tidak tahu, tapi aku cukup yakin itu bukan karena kamu.
结丹期	Pembentukan Inti
门	Sekolah
正在前往{0}	Pergi ke{0}
外观美化	Grafik
狗	Anjing
已合练	Gabungan
心绪对神国面积的影响。	Pengaruh kesusahan pada ukuran Alam Ilahi.
特殊	Spesial
正在加载，请耐心等待！	Memuat sekarang, harap tunggu!
(着迷)	(Terobsesi)
攻击该角色。	Serang karakter tersebut.
击杀模式	Modus membunuh
金属性伤害减免	Pengurangan Kerusakan Logam
遇到瓶颈	mencapai batas.
[temperature]{0:N0}[/temperature]至[temperature]{1:N0}[/temperature]	[temperature]{0:N0}[/temperature]ke[temperature]{1:N0}[/temperature]
重建	Membangun kembali
当前阵图仍有阵眼，无法删除阵枢	Rencana tersebut masih memiliki alat bantu. Tidak dapat menghapus pilar.
\n\n[color=#9e6404]不能共存：[/color]	\n\n[color=#9e6404]Tidak bisa hidup berdampingan:[/color]
缺少认知\n	Kurangnya Realisasi\n
拾取该道具。	Ambil barangnya.
政策	Kebijakan
随机目标	Sasaran Acak
神通	Keajaiban
{0}→[color=#009900]{1}(相生)[/color]	{0}→[color=#009900]{1}(Ikatan)[/color]
门派名	Nama Sekte
[color=#008800](正常)[/color]	[color=#008800](Normal)[/color]
当前存档有更新的进度，是否仍然选择当前进度进行游戏？	Penyimpanan saat ini memiliki kemajuan yang lebih baru. Apakah Anda masih ingin melanjutkan kemajuan saat ini?
使用者目前并未登入 Steam	Pengguna tidak masuk ke Steam.
<font color=#D06508>[法宝]</font>\n	<color font=#D06508>[Artifact]</font>\n
[旁门心得]	[Unorthodox Manual]
神秘	Misteri
正在同步	Sinkronisasi
在拆迁建筑时，正快乐的哼着小调	Menghancurkan bangunan sambil menyenandungkan lagu ceria
通灵中...\n	Yg memperjelas...\n
\n并无其他特异之处	\ntidak ada yang istimewa.
练习御剑完毕，正觉得畅快淋漓	Telah menyelesaikan pelatihan penguasaan pedang; merasa sangat baik tentang hal itu
\n信仰：{0:N0}({1:N0})	\nKeyakinan: {0:N0}({1:N0})
{0} 缺少产出建筑无法保存	{0}tidak memiliki bangunan keluaran, tidak dapat menyimpan.
未获得通行权	Tidak dapat diakses
刚结束今天的御剑功课	Baru saja menyelesaikan pelatihan penguasaan pedang hari ini
正在感悟天地	Namun jauh di lubuk hati
房间	Ruang
满	Ledakan
网络状态异常,请稍后再试	Status jaringan tidak normal, coba lagi nanti
{0}发生灾难：{1}	Bencana di{0}: {1}
突破时无法使用道具	Item tidak tersedia selama terobosan.
图鉴进度：{0}/{1}	Kemajuan Ensiklopedia:{0}/{1}
炼化同源之物，以增强自身实力。	Sempurnakan objek dengan asal yang sama untuk meningkatkan kekuatannya sendiri.
致命绝境	Mematikan
需要选择一个阴效果！	Harus memilih efek Yin!
瓶颈突破成功	Terobosan berhasil
存档正在进行，无法读档，请稍候...\n	Penyimpanan sedang berlangsung, tidak dapat memuat game. Harap tunggu...\n
将物品移动到指定位置。	Pindahkan item ke lokasi yang ditentukan.
[本地蓝图]\n	[Local Blueprint]\n
百分比	Persentase
{0}品金丹	Tingkat{0}Inti Emas
无数次	Berkali-kali
陵	Mausoleum
高级秘籍	Panduan Lanjutan
角色会将该道具搬运至交易区。	Karakter akan memindahkan item tersebut ke area perdagangan.
显示名字不能为空	Nama Tampilan tidak boleh kosong.
施放	Api
取消下载	Batalkan Pengunduhan
修为	Pengalaman
额外灵气:{0:N0}	Lingqi Ekstra: {0:N0}
(正常工作)	(Operasional)
八	Delapan
成长期	Tahap Pembelajaran
高级夺舍方式，完全夺取一个无修为活物的身体，无负面作用。	Cara yang ampuh untuk memiliki. Sepenuhnya memiliki tubuh yang hidup tanpa kekuatan spiritual. Tidak ada efek negatif.
一张随意为之但充满想象力的符咒，不知道会有什么神奇的效果。	Jimat simbolis yang penuh imajinasi. Saya bertanya-tanya apa efek luar biasa yang dikandungnya.
美	Cantik
(成熟中)	(Dewasa)
听说二师兄昨日已经回山，此番历练又有奇遇……竟然寻得一块星髓，真让人眼红。	Rekan murid saya kembali kemarin dengan petualangan luar biasa lainnya untuk diceritakan kembali. Dengar sekarang, dia bahkan menemukan sepotong inti lumina! Saya sangat iri!
正在拉取文件	Menarik File
筑工	Pembangun
倒地	Gagal
[color=#ff0000]已达到道行上限[color]\n{0}	[color=#ff0000]Batas pencapaian tercapai.[color]\n{0}
请输入名称!	Silakan Masukkan Nama!
版筑	Konstruksi
[color=#008800]（已完成）[/color]	[color=#008800](Selesai)[/color]
[妖形态]\n变身成妖形态	[Yaoguai]\nBeralih ke bentuk yaoguai
此地	Di Sini
此经历不可改变。	Latar belakang ini tidak dapat diedit.
{0}[color=#9e6404][完美][/color]	{0}[color=#9e6404][Perfect][/color]
删除成功	Dihapus.
特殊物品	Spesial
当前没有事件发生	Tidak ada peristiwa yang terjadi.
正在准备工具，去执行缝纫作业	Mempersiapkan alat jahit
在工作之时，正累的气喘吁吁	Bekerja; terengah-engah
生产数量	Menghasilkan
运气不错，钓到了一条极为珍稀的{0}	Betapa beruntungnya! Tertangkap sangat jarang{0}.
再见,{0}!\n	Selamat tinggal,{0}!\n
在搬运间余，刚小憩片刻	Mengangkut barang; sedang istirahat
珀	Permata Jiwa
该物品不能用于炼制	Item ini tidak dapat disempurnakan.
通过输入指定字段生成秘籍	Masukkan bidang tertentu untuk menghasilkan manual.
盈	Penuh
取消入驻	Batalkan Penugasan
物品[劫灰]数量不足!	Barang[Tribulation Ashe]tidak memadai!
灵性隐隐	Berkah Kecil
焚香祈愿，准备开始炼制法宝	Membakar dupa dan berdoa; bersiap untuk membuat artefak
正在乐呵呵的砍柴中	Dengan senang hati membelah kayu bakar
你失去了{0}\n你获得了{1}点人情	Anda kalah{0}.\nAnda memperolehnya{1}Koneksi.
[color=#FF0000]无阵枢[/color]	[color=#FF0000]Tidak ada Pilar[/color]
在太极天道的影响下，本次随机的范围变得更广了	Di bawah pengaruh Tai Ji Heavenly Dao, jangkauan kejadian acak ini telah meluas
文中含有特殊字符，请斟酌后重书。	Teks berisi karakter khusus, harap tulis ulang sesuai kebijaksanaan Anda.
<font color=#D06508>[秘宝]</font>\n	<color font=#D06508>[Legacy Artifact]</font>\n
正在复制第{0}个文件\n{1}	Salin berkas{1}TIDAK.{0}
只有术法登峰造极之时才能凝练出术法元灵,指定元灵的术法会在战斗时自动释放	Jiwa Primordial hanya dapat tercipta ketika kekuatan mantra seseorang mencapai level tertinggi. Mantra pemilihan Jiwa Primordial akan dilepaskan secara otomatis selama pertempuran.
[color=#FF0000]模组商店获取失败[/color]	[color=#FF0000]Gagal[/color]
可选：{0}/{1}	Dapat dipilih:{0}/{1}
战斗	Pertempuran
系统设置	Pengaturan
{0} 下载失败，请检查网络连接是否稳定，同时移至Steam下载界面恢复下载	{0}Pengunduhan gagal. Pastikan koneksi Internet Anda stabil dan navigasikan ke menu unduhan Steam untuk melanjutkan unduhan.
系统互动按钮	Tombol Interaktif Sistem
尚有角色处于隐匿状态	Karakter tersembunyi
{0}\n{1}\n入住天数：{3}\n信仰程度：{4}{2:N0}%{5}\n{6}	{0}\n{1}\nDurasi Residensi:{3}\nTingkat Keyakinan:{4}{2:N0}%{5}\n{6}
\n[align=center][color=#CCCCCC]----未参悟----[/color][/align]	\n[align=center][color=#CCCCCC]----Untuk dipelajari----[/color][/align]
外观数量：{0}	Kuantitas Penampilan:{0}
{0}发布了一个任务。	{0}mengeluarkan tugas.
宝物	Harta karun
缝制	Jahit
重载SkillTree	Muat ulang SkillTree
保存成功	Disimpan.
在工作时，突然走神	Bekerja; melamun
卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露	Saat itu sekitar pukul 5:00–7:00, ayam berkokok menandakan hari baru
不选择任何政策	Tidak Ada Kebijakan
{0}释放的{1}	{0}dilepaskan{1}
运转阵法	Operasikan Formasi
灵气:{0:N0}/{1:N0}\n灵宠的灵气在战斗中回复比较缓慢。当灵气为空时灵兽将会死亡，建立对应雕像可以使其重生。\n角色会从环境中吸取灵气	Qi:{0:N0}/{1:N0}\nQi hewan peliharaan perlahan terisi kembali dalam pertempuran. Setelah Qi habis, hewan peliharaan tersebut akan mati. Anda dapat membangun patung yang sesuai untuk menghidupkannya kembali.\nKarakter menyerap Qi dari lingkungan.
俊	beberapa
混元期	Fase Kekacauan
与{0}的好感度为：{1}\n\n{2}	{0}nikmatnya adalah:{1}\n\n{2}
删除此单位。	Hapus unit ini.
进食	Makan
蓝图中无可造建筑	Tidak ada Bangunan yang tersedia dalam Cetak Biru ini.
CloudSave->开始拉取云存档:{0}	CloudSave->Mulai Mengambil Cloud Save:{0}
代理人	Agen
极其利于	Sangat Bermanfaat
获得成功{0}({1:N0})次（炼丹，炼器，突破，击败相同或更高境界的敌人）	Berhasil{0}({1:N0}) kali (Selama alkimia, pembuatan artefak, terobosan, dan pertempuran melawan musuh dalam kondisi yang sama atau lebih tinggi)
最近	Terkini
练习术法	Latihan Mantra
<font color=#D06508>[地区属性]</font>\n	<color font=#D06508>[Area Stats]</font>\n
身体强度：炼体者身躯的综合强度，决定炼体者承受伤害的能力。	Kekuatan Fisik: kekuatan menyeluruh tubuh seorang kultivator fisik, yang menentukan kemampuan menahan kerusakan.
秘闻	Rahasia
讲道	Berikan Ceramah
没有可用神通	Tidak ada keajaiban yang tersedia
在移除工作之时，正在胡思乱想	Menghapus sesuatu; terganggu oleh pikiran
话外别传存储失败:{0}	Gagal menyimpan Epilog Karakter:{0}
被悲悯之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时心怀悲悯而心态优越，因此御器技能，术法技能，护体技能均突破极限1级。	Menjadi Simpatis. Efisiensi latihan, kecepatan belajar, dan kondisi mental berkurang drastis. Dalam keadaan tersebut, karakter akan menjadi sangat simpatik, sehingga memperoleh kepercayaan diri untuk bertarung. Terobosan 1 tingkat Pembuatan Artefak, Mantra, dan Perlindungan.
食物	Makanan
{0}\n[color=#9e6404]不能共存：[/color]	{0}\n[color=#9e6404]Tidak bisa hidup berdampingan:[/color]
一只野生的{0}！！！	Liar{0}!
伪造的	Palsu
禁用这个物品,小人不会对其发起主动交互。	Larang penggunaan item ini. Karakter tidak akan berinteraksi dengannya sendiri.
上传成功！大约需要10分钟的时间才会在模组订阅面板中出现\n请勿修改并妥善保管当前上传模组文件下的Info文件，用于更新该模组	Diunggah! Mod Anda akan dapat dilihat di menu berlangganan mod dalam waktu sekitar 10 menit.\nHarap jangan mengubah file .info dari mod yang diunggah dan simpan untuk pembaruan mod ini di masa mendatang.
等候命令	Menunggu pesanan
秘法玄章	Volume Rahasia
游戏时长	Waktu Dimainkan
选择地点	Pilih lokasi.
养殖区	Padang rumput
内门弟子：{0}	Murid batin:{0}
选择功法	Pilih Hukum
根骨	MENIPU
楼	Klenteng
此物品对方根本不需要，毫无价值。	Barang ini tidak ada artinya bagi orang lain.
分享字符串错误，无法使用	Terjadi kesalahan pada string berbagi. Tidak dapat digunakan.
幽淬次数：{0}次\n	Penyempurnaan Spectre:{0}\n
[color=#306BC7]获得了新的修炼功法：{0}[/color]	[color=#306BC7]Pelatihan Hukum Baru yang Diperoleh:{0}[/color]
刚完成一件锻造作品，准备休息一下	Baru saja selesai menempa suatu item; akan beristirahat
修仙之始	Kultivasi Dimulai
没有更改内容	Tidak ada yang berubah.
木属性伤害减免}	Pengurangan Kerusakan Kayu}
\n[color=#9e6404]前置条件：[/color]	\n[color=#9e6404]Prasyarat:[/color]
{1}\n{0:N0}岁\n{2}	{1}\n{0:N0} tahun\n{2}
神道修行无法使用灵器\n	Artefak spiritual tidak tersedia untuk Hukum Shendao.\n
通灵的	Diterangi
矿石	Bijih
请选择一个物品	Pilih sebuah item.
不朽金身	Tubuh Abadi
处世	Sosial
{0}心防无法瓦解(坚韧)	{0}belum terbuka (tangguh).
物品[灵珀]数量不足!	Barang[Spirit Soul Gem]tidak memadai!
夺取物品	Ambil Barang
解锁了以下建筑：\n	Bangunan berikut tidak terkunci:\n
幻影	Hantu
登录状态过期，即将退出游戏	Status login sudah kadaluarsa, segera keluar dari permainan
元神期的修行者可以以自身的元神分神为载体，将自己对修行的体会寄托于装备之上。	Seorang kultivator dengan roh primordial dapat menggunakan sub-roh sebagai pembawa untuk melekatkan pemahaman mereka tentang kultivasi pada peralatan mereka.
房间内生效，受房间尺寸影响。	Efektif di dalam ruangan. Dipengaruhi oleh ukuran ruangan.
皮肉	Daging
设置堂主	Pemimpin
劫云灵气	Kesengsaraan Qi
擦了擦汗，正满意的看着刚种完的田地	Melihat ladang yang ditanami dengan puas
当前天气变化为指定的天气	Ubah cuaca menjadi cuaca tertentu.
这种东西我们并不需要。	Kami tidak membutuhkannya.
应天台的光芒黯淡了下来\n（正在凝聚灵石）	Cahaya di Altar Gema Surga memudar.\n(Mengkristalkan Batu Roh)
{0}倍速\n[keycode]SpeedP[/keycode]  降低速度\n[keycode]SpeedN[/keycode]  提升速度	{0}x Kecepatan\n[keycode]KecepatanP[/keycode]Kecepatan Lebih Rendah\n[keycode]KecepatanN[/keycode]Naikkan Kecepatan
感知列表	Daftar Persepsi
喝东西时好像在思考什么，一脸凝重	Minum sambil memikirkan sesuatu; terasa khusyuk
贪婪	Tamak
材料不足	Bahan tidak mencukupi
拾取一个物品，注意这可能会惹别人生气。	Ambil sebuah barang. Ini mungkin membuat marah orang lain.
性别:{0}	Jenis kelamin:{0}
道具	Barang
已领悟\n	Belajar\n
山寨	Benteng
元神	Roh Purba
余{0}次	{0}kali
请选择一个认知思绪	Pilih Pikiran Realisasi.
仅外门	Hanya Murid Luar
破乾坤	Ledakan Alam Semesta
该角色正忙	Karakter ini ditempati.
尚未解锁	Terkunci
或	atau
<font color=#888888>(无风水)</font>	<font color=#888888>(Tanpa Feng Shui)</font>
异变消散	Mutasi menghilang
观礼	Menghadiri Upacara
地形	Medan
装备	Gigi
存档并进入	Simpan dan masuk
[color=#880000](未激活)[/color]	[color=#880000](Tidak aktif)[/color]
拆除这个建筑。	Hancurkan struktur ini.
神秘符咒	Jimat Misterius
在练习护体时突然走神	Melakukan pelatihan perlindungan; melamun
将物品的一个单位放置到置物台上。	Tempatkan satu item di Layar.
空白	Kosong
仓库\n该地每日产出和寻觅珍宝所都都会放在这里，满了则无法再获取内容。{0}	Penyimpanan\nProduksi dan harta karun yang ditemukan setiap hari akan disimpan di sini. Itu tidak dapat berisi konten lain setelah penuh.{0}
该评论中包含敏感词汇	Komentar ini mengandung kata-kata yang disensor.
网络状态异常,即将退出游戏	Status jaringan tidak normal, segera keluar dari permainan
安装建筑	Mendirikan bangunan
高帧率	FPS tinggi
信仰值	Keyakinan
[{0}]瓶颈已突破	[{0}]telah ditembus.
零	Nol
敌方	Musuh
蕴养	Membina
灵宠	Peliharaan
突破时时节对突破成功率的影响。\n春属木，夏属火，秋属金，冬属水，土属性则在每季末尾最佳。	Musim mempengaruhi tingkat keberhasilan terobosan.\nMusim semi artinya Kayu, musim panas artinya Api, musim gugur artinya Logam, dan musim dingin artinya Air. Bumi akan memberikan efek terbaik pada akhir setiap musim.
自然与环境	Alam & Lingkungan
正满意的看着自己刚刚安装的建筑	Melihat bangunan yang baru didirikan dengan kepuasan
将这个筑基成功的弟子晋升到内门	Murid ini telah berhasil mendirikan yayasannya. Promosikan mereka menjadi murid batin.
[{0}]数量不足!	Tidak cukup[{0}]!
脚本回调	Panggilan Balik Skrip
角色入玄失败，请重新尝试	Tautan surga gagal, coba lagi.
强	Kuat
PayMgr-> 找不到ID为{0}商品中产品ID:{1}的商品信息	PayMgr-> Tidak dapat menemukan informasi produk untuk ID{0}dengan ID produk:{1}
开采	Milikku
该角色不能作为目标	Karakter ini tidak dapat ditargetkan.
房间温度\n室内的当前温度	Suhu Kamar\nSuhu saat ini di dalam ruangan.
普通物品	Umum
被角色的灵性影响无法转换阵营。	Tidak dapat berbalik karena berkah karakter.
各门派赈灾情况：{0}	Dana Bantuan Semua Sekte:{0}
取消指定	Batalkan pilihan
无滤镜	Tidak ada filter
捕获	Menangkap
点击订阅	Berlangganan
翩然起舞	Mulailah Menari
[color=#FFFF00]节点激活条件[/color]	[color=#FFFF00]Persyaratan Aktivasi Node[/color]
攻击命中\n尝试使用此秘体进攻时的成功几率。	Akurasi Serangan\nPeluang sukses ketika mencoba menggunakan Badan Rahasia ini untuk menyerang.
昏暗	Redup
本地轮回者	Reinkarnator Lokal
请在此激活下载的模组，激活的模组才会在游戏中实际生效。	Aktifkan mod yang diunduh di sini untuk mengaktifkannya di game sebenarnya.
{0} 中含有来自模组的建筑或物品	{0}memiliki bangunan atau item dari mod.
范围：{0}	Jangkauan:{0}
设置	Pengaturan
灵气浓度	Kepadatan Qi
时长:{2}\n消耗寿元:{0:N0}/{1:N0}   消耗精元：{5}{3:N0}{6}/{4:N0}	Lamanya:{2}\nBiaya Umur: {0:N0}/{1:N0} Biaya Stamina:{5}{3:Tidak0}{6}/{4:N0}
法宝炼制	Kerajinan Artefak
其他属性	Lain-lain Statistik
<font color=#B65704>必须材料:\n</font>	<font color=#B65704>Bahan yang dibutuhkan:\n</font>
是否确定与当前目标战斗。	Yakin bertarung dengan target?
狱	Lubang
让代理人落实政策。期间会发生对应事件，需要手段来处理。不采取政策则会每日损失代理势力吸引力。	Minta agen untuk menerapkan kebijakan tersebut. Peristiwa terkait akan terjadi selama itu, yang perlu ditangani dengan tepat. Jika tidak ada kebijakan yang diterapkan, kekuasaan dan daya tarik lembaga tersebut akan berkurang setiap harinya.
请示门派	Beritahu Sekte
阴阳加成	Yin Yang
将一个对象的品质升阶	Meningkatkan kualitas sasaran.
垂钓	Ikan
角色生成	Hasilkan Karakter
在制药作业间余，正小憩片刻	Membuat obat; sedang istirahat
正在乐呵呵的缝纫中	Selamat menjahit
加载条件过期信息有问题！报错：{0}	Batas waktu pemuatan habis! Kode kesalahan:{0}
旁门心得	Pedoman yang tidak lazim
门派内门弟子总数	Jumlah total murid batin.
正在乐呵呵的建筑工作中	Dengan senang hati melakukan pekerjaan konstruksi
参悟经验：{0:F0}/{1:F0}\n	XP Inspirasi: {0:F0}/{1:F0}\n
修理建筑不顺，觉得有点消沉	Pekerjaan perbaikan tidak berjalan dengan baik; merasa agak frustrasi
声震寰宇	Menonjol
修改仓库储存类型	Ubah filter inventaris.
是否确定退出游戏	Apakah Anda yakin ingin keluar dari permainan?
炼制圣物	Kerajinan Relik Suci
绘制	Menggambar
{0}发生事件:{1}	Acara di{0}: {1}
{0}部分功能需要激活{1}后才能生效，请谨慎购买！	Beberapa fitur dari{0}perlu diaktifkan oleh{1}untuk berlaku. Silakan membeli dengan hati-hati!
生物图鉴需要玩家拥有或击杀该生物来点亮。	Untuk membuka kunci konten Ensiklopedia Makhluk, Anda perlu merasuki atau membunuh makhluk-makhluk ini.
赞同或反对灵宠的行为，使其执行行为的权重改变。	Setujui atau cegah perilaku tertentu hewan peliharaan Anda, sehingga memengaruhi nilai bobot preferensinya terhadap berbagai perilaku, sehingga mengubah cara tindakannya.
动物角色	Karakter Hewan
{0:N2}%({1:N2}%)\n疼痛:{2}	{0:N2}% ({1:N2}%)\nNyeri:{2}
{0}{6}\n健康:{1:P0}\n饥饿:{2:N0}\n口渴:{3:N0}\n精力:{4:N0}\n情绪:{5:N0}	{0}{6}\nKesehatan: {1:P0}\nKelaparan: {2:N0}\nHaus: {3:N0}\nEnergi: {4:N0}\nSuasana hati: {5:N0}
魔(恸哭)	Setan (Meratap)
{0}折	{0}mati
消耗25点香火值，为一个外门角色治疗所有疾病，恢复所有器官，并提高五维。	Harganya 25 Dupa. Menyembuhkan segala penyakit, memulihkan seluruh organ, dan meningkatkan panca indera bagi murid luar.
(等待建造)	(Menunggu Pembangun)
天苍{0}年 {1} 第{2}日	Hari{2}, {1}, Tahun{0}, Tiancang
该角色正在被施展神通	Karakter ini melakukan keajaiban.
正邪未明	Tidak dikenal
定制五官	Penyesuaian wajah
模组只在WeGame和Steam平台提供。\n开发不易，请支持正版。感谢！	Mod hanya dapat diakses di Wegame dan Steam. Pembangunan itu tidak mudah, mohon dukung yang sah. Terima kasih!
神乎其技	Keterampilan Luar Biasa
正专心搬运	Berkonsentrasi pada pengangkutan barang
武器	Senjata
当前累积次数:{0}，最大累积次数:{1}\n可通过[color=#FF0000][b]{2}[/b][/color]获取使用次数	Saat-saat awal:{0}Kali maksimal{1}.\nIni bertambah seiring waktu[color=#FF0000][b]{2}[/b][/color].
该物品正在被使用	Barang ini sedang digunakan.
取消研习藏经阁秘籍。	Batalkan mempelajari manual di Paviliun Manual.
结丹修士	Pembentuk Inti
派遣内门弟子历练的次数	Berapa kali Anda mengirim murid batin dalam petualangan.
使该植物着火。纯表现。	Bakar tanaman itu. Hanya untuk pertunjukan.
攻击穿透\n使用此秘体攻击拥有灵气护盾的目标时，攻击穿透灵气护盾的比率。	Penetrasi Serangan\nPeluang menembus Penghalang Qi saat menggunakan Badan Rahasia ini untuk menyerang target dengan Penghalang Qi.
{0}:{1}\n通过锻炼可以提高，{0}营养越高，提高越快。	{0}:{1}\nDapat ditingkatkan melalui olahraga. Semakin tinggi nutrisinya{0}, semakin cepat dapat ditingkatkan.
将这个物品给与一个角色，角色会自动前来食用。	Berikan item ini ke karakter. Karakter secara otomatis akan mengambil dan memakannya.
装备或者拾取一个物品	Lengkapi atau ambil item.
<font color=#D06508>[丹药]</font>\n	<color font=#D06508>[Elixir]</font>\n
突破地点的五行属性与功法的匹配度对突破成功率的影响。	Kesesuaian unsur lokasi dengan Undang-undang mempengaruhi tingkat keberhasilan terobosan.
数量	Nomor
矿石植被	Bijih & Tanaman
[内容]\r\n	[Content]\r\n
正在享受烹饪的快乐	Menikmati memasak
{0}可能会发生事件:\n[color=#D06508]{1}[/color]	{0}Kemungkinan kejadian:\n[color=#D06508]{1}[/color]
众生万物	Semua Ciptaan
影响灵宠的灵气护盾强度。	Mempengaruhi Kekuatan Penghalang Qi Hewan Peliharaan.
分堂名	Nama Cabang
修炼速度停滞，无法入定。	Tidak dapat bermeditasi karena kultivasi mengalami stagnasi.
芸芸众生\n事件发生的概率正常\n更快的修炼速度\n更少的参悟消耗\n偶尔会发生危险\n天劫威力正常\n适合大部分玩家	Sedang\nPeristiwa terjadi pada tingkat normal.\nKecepatan budidaya lebih cepat.\nBiaya Inspirasi lebih rendah.\nBahaya sesekali.\nKesengsaraan Surgawi yang Normal.\nCocok untuk sebagian besar pemain.
在游戏中，玩家不能直接控制角色，大部分交互指令都是通过命令指定的方式下达。\n点击对应功能按钮后选择交互对象，即可完成交互指令的下达。	Karakter tidak dapat dikontrol secara langsung, sebaliknya sebagian besar interaksi dilakukan dengan memberi perintah.\nKlik suatu fungsi dan pilih karakter target untuk menyelesaikan pesanan.
炼丹房	Lab Alkimia
自动存档..	Simpan otomatis...
加载地图故事	Muat Cerita Peta
已供奉	Disembah
与{0}的好感度为：{1}	{0}nikmatnya adalah:{1}
工具	Alat
多次幽淬	Penyempurnaan Beberapa Spectre
吃东西中噎了自己一下，正慌忙的喝水	Tersedak sesuatu; meneguk air
取消研习	Studi Dibatalkan
大有收获	Anda memperoleh banyak hal
邪教	Sekte Jahat
打架	Berkelahi
地点不可达	Lokasi yang tidak terjangkau.
鼎炉潜力几尽枯竭，炼精化气效率较慢。	Potensi Kuali Bagian Dalam hampir habis; efisiensi konversi Stamina yang rendah.
\n境界影响:\n {0:N0}%	\nNegara:\n{0:N0}%
询问	Menanyakan
已存在对应控件:{0}，不需要复制	Kontrol{0}sudah ada. Tidak perlu menyalin.
一般	Umum
[color=#ff0000]已达到道行上限[/color]\n{0}	[color=#ff0000]Mencapai batas pencapaian[/color]\n{0}
在拆地板时，正快乐的哼着小调	Menghapus lantai sambil menyenandungkan lagu ceria
寿元	Jangka hidup
五境:反虚	Lv V: Tidak Ada
门派人数已达上限	Mencapai populasi sekte maksimum
扫地	Sapu Lantai
灵气:	Qi:
灵石	Batu Roh
飞升天劫	Kesengsaraan Kenaikan
点击[太阳符]。	Tekan Jimat Yang Tertinggi
领取成功!	Klaim Sukses!
{0:F0}点 {1}（受到天道异动影响）	{0:F0} poin{1}(dipengaruhi oleh Kekacauan Surgawi)
管理者审核通过后其他同道中人方可看见此评论	Komentar ini hanya dapat dilihat oleh orang lain setelah mendapat persetujuan moderator.
击败普通人：{0}个	Manusia Dikalahkan:{0}
读取存档发生错误！\n游戏不支持导入其他存档，请读取正确的存档。\n如有更多问题，请联系客服。	Kesalahan Pemuatan!\nGame tidak mendukung untuk memuat simpanan orang lain, silakan pilih simpanan yang benar.\nJika Anda memiliki masalah lebih lanjut, silakan hubungi kami melalui email.
放下收获	Tempat Panen
陪睡觉	Menemani tidur
（已被使用，再次使用属性将不会叠加）	(Sudah digunakan, penggunaan berulang tidak akan menambah statistik)
{0:N0}个小时后	{0:N0} jam kemudian
是否确认花费{0}元购买{1}{2}	Apakah Anda yakin untuk menghabiskan{0}untuk membeli{1} {2}?
契约：{0}\n	Kontrak:{0}\n
CloudSave->开始压缩:{0}	CloudSave->Mulai Kompresi:{0}
主要角色未选择经历,确定要直接进入游戏吗？	Tidak ada latar belakang yang dipilih untuk karakter utama. Apakah Anda yakin ingin memulai permainan?
外门	Murid Luar
雕像\n主殿升级到中级主殿解锁。选择弟子附身之后，此地信仰可直接转移给该弟子。	Patung\nTingkatkan ke Aula Utama Menengah untuk membuka kunci. Setelah merasuki seorang murid, kepercayaan terhadap tempat ini dapat langsung ditransfer ke murid tersebut.
无法炼制该秘宝	Tidak dapat memalsukan artefak harta karun ini
删除这个区域	Hapus area ini.
入口	Pintu masuk
将一个物品幽淬	Lakukan Spectre Refinement untuk sebuah item.
数据校验失败,请联系客服或稍后再试	Verifikasi data gagal, silakan hubungi Layanan Pelanggan atau coba lagi nanti
在筑基之时，突然心有所感	Yayasan pelatihan; tiba-tiba mendapat perasaan
这个门派很神秘，需要在游戏中了解更多。	Sekte ini misterius, mainkan permainannya untuk mengungkap lebih banyak informasi.
修改存档成功!	Simpan File Berhasil Dimodifikasi!
\n总大小:	\nUkuran:
(平均值)	(Rata-rata)
投其所好	Melayani kesenangan mereka
灌顶	Mencerahkan
返回门派	Kembali ke sekte
