ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
528	Human	1	0	pemburu es	[NAME]Apakah seorang pemburu es。[IT]Fisik yang sangat kuat，Mampu berlari bertelanjang dada di es dan salju tanpa merasa kedinginan。		0	1	3				4			1												ColdPatience					
529	Human	1	0	pemburu nomaden	[NAME]Adalah pemburu nomaden di padang rumput，Tinggal di hutan belantara sepanjang tahun[IT]Tidak dapat memasuki tidur nyenyak。		0	2	2				4			1												ShallowSleep					
530	Human	1	0	Pemburu ratu	[NAME]Dia adalah pemburu kerajaan，Bertanggung jawab untuk mengajarkan keterampilan berburu kepada anak-anak kerajaan。[ITS]Teknologi unggul，ramah，Namun kehidupan keluarga kerajaan juga membuat[IT]Memiliki kebutuhan yang kuat untuk memakai makanan。		0	2	2	1			4		2																		
531	Human	1	2	pencari jodoh	[NAME]fasih，Saya suka berpartisipasi dalam gosip di antara tetangga.。[IT]Bersemangat untuk menghubungkan generasi muda pada usia yang tepat，Dia adalah mak comblang terkenal dari seluruh negeri.。		0			1					6																		
532	Human	1	0	staf	[NAME]Dia adalah seorang ajudan militer，[IT]Meski tidak terlalu banyak akal，Tapi karakternya yang berhati-hati juga membuatnya[IT]Lihat penyergapan dan strategi musuh berkali-kali。Ini membuat[IT]Sedikit bangga。		0				2		2			3		4				3											
533	Human	1	0	penangkap	[NAME]adalah seorang polisi，Bertanggung jawab untuk menangkap penjahat。Selama bertahun-tahun berkarir sebagai petugas polisi，[IT]Menyinggung banyak musuh，Juga menderita banyak luka。		0	2	1				2															HealthOverdraft1					
534	Human	1	0	harta benda	[NAME]berbaur di pasar，Mencari nafkah dengan meramal nasib orang。[IT]Tidak ada keterampilan nyata，Hanya bicara omong kosong dengan satu mulut。Hanya saja, pengalaman pasar selama bertahun-tahun memungkinkan saya melakukannya[IT]mata yang tajam，Anda sering kali dapat menggambarkan situasinya dengan tingkat yang hampir sama.。		0	3		2					4																		
535	Human	1	0	Lukisan	[NAME]Dia adalah pengrajin pena dan tinta，Pandai melukis pemandangan dan manusia。[IT]Saya menjalankan toko kaligrafi dan lukisan di kampung halaman saya，Saya mencari nafkah dengan melukis kaligrafi dan lukisan untuk pemakaman dan pernikahan sesama penduduk desa.。		0				1										5	3											
536	Human	1	0	Hutoubing	[NAME]Dia adalah juru masak tentara。[IT]Biasakan memasak dalam panci besar，Rasa makanan yang Anda buat bukanlah sesuatu yang bisa Anda harapkan.，Tapi kecepatannya luar biasa，Dapat memasak makanan dalam jumlah besar dengan cepat。		0		1				2				5		2			2						Rugged					
537	Human	1	0	pengantin pria	[NAME]Kehidupan tertentu di peternakan kuda。[IT]Bertanggung jawab memotong rumput untuk ratusan kuda setiap hari，makanan。\nKehidupan yang berulang hari demi hari menghasilkan[IT]Merasa membosankan，[IT]Saya sering berfantasi tentang kisah magis dalam novel fantasi sambil memberi makan kuda.。		0		1		1							2	2		2												
538	Human	1	0	gembala	[NAME]adalah anggota suku stepa。[IT]Lahir dengan penglihatan yang bagus，Oleh karena itu, ia ditugaskan sebagai penggembala suku tersebut.。\nTugas penggembalaan sehari-hari sangatlah berat，Selain mencegah hewan tersesat，Juga berhati-hatilah terhadap serangan binatang buas。Ini membuat[NAME]Menjadi sangat gesit。		0	2	1				2																				
539	Human	1	0	Jadilah orang yang trendi	[NAME]adalah penentu tren，Banjir datang setiap tahunnya，[IT]akan menggunakan keterampilan mereka sendiri untuk bersaing dengan tren，Untuk menyenangkan para pejabat。dan di waktu lain，[IT]Anda harus berolahraga keras，mempertahankan status seseorang，Untuk menghindari tidak disukai selama musim banjir tahun depan，Bahkan kehilangan nyawamu。		0	2	3																								
540	Human	1	0	Ahli feng shui	[NAME]Adalah seorang ahli Feng Shui，[IT]Terkenal di seluruh dunia，Saya telah memilih banyak pejabat tinggi dan pejabat untuk memilih rumah yin dan yang mereka.。Bahkan keluarga kerajaan dari dinasti saat ini mempekerjakan[IT]sebagai konsultan。		0			2	2			4	6																		
541	Human	1	0	Koki Ilahi	[NAME]Dia adalah koki sebuah restoran terkenal di dunia。[ITS]Keterampilan memasak yang luar biasa，Legenda mengatakan bahwa dia dibawa ke dunia peri oleh makhluk abadi dalam mimpi untuk memasak makanan lezat.。		0				1			2			8																
542	Human	1	0	mandor	[NAME]Dia adalah pengawas kerja lokal di istana kekaisaran.，[IT]Sangat mampu，Ditugaskan untuk membangun istana mewah untuk kaisar。Tapi dia kasar，Para pekerja sering kali disiksa，Bahkan menewaskan banyak orang。		0		1	-2					-4			5				2											
543	Human	1	0	arsitek	[NAME]Arsitek terkenal yang menjadi terkenal di usia muda，Pelajari seni arsitektur dari arsitek terkenal dunia。\nada[IT]Dalam proses belajar seni，Saya pernah secara pribadi bertanggung jawab atas desain dan pembangunan taman istana.，Sejak saat itu, ia menjadi terkenal di seluruh dunia。		0				2							8,2															
544	Human	1	0	akrobat	[NAME]adalah seorang pemain sulap，[IT]Bepergian dan tampil bersama teman-teman Anda，Cari nafkah dengan melakukan beberapa trik aneh。Karir akting bertahun-tahun telah dibuat[IT]Memiliki konsentrasi yang luar biasa，[IT]Mampu tidak terganggu di tengah sorak-sorai dari langit，dan melakukan pertunjukan aksi yang mendebarkan。		0	3	1		1																	GoodMentality					
545	Human	1	0	penjinak ular	[NAME]Keterampilan menari ular yang luar biasa telah diturunkan dari nenek moyang kita，[IT]Saya memiliki ular hijau berbisa sejak saya masih kecil.，dan dapat berkomunikasi secara intim dengan mereka。[IT]Dapatkan penghasilan dari keterampilan ini，Dia bahkan lolos dari balas dendam di antara rekan-rekannya.。		0	2																									
546	Human	1	0	pawang monyet	[NAME]Dia seniman monyet，[IT]Seperangkat cambuk monyet warisan keluarga saya yang saya latih sejak kecil telah hilang.，Fleksibel，Seni bela diri yang luar biasa。\ndalam sebuah pertunjukan，[ITS]Monyet itu menyinggung seorang bajingan。Untuk menyelamatkan monyet itu, dia dikepung oleh gangster.，Satu matanya buta。		0	2	2				2															BanLeftEye					
547	Human	1	0	pemilik penginapan	[NAME]Menjalankan penginapan di perbatasan，Karena letaknya di jalan penting，Jadi bisnisnya oke。Hanya saja banyak sekali orang yang datang dan pergi，Akan selalu ada masalah dan kekacauan.。\nUntuk mengatasi situasi ini，[NAME]Pekerjakan banyak preman，Saya juga belajar bela diri sebanyak mungkin dengan tinju dan tendangan.。		0			1	1		2		4																		
548	Human	1	0	umat awam	[NAME]Jalani kehidupan yang sangat miskin，Ini membuat[IT]tenggelam dalam kesakitan sepanjang hari。Untuk menemukan dukungan spiritual dalam kesakitan，[NAME]Menjadi orang awam yang beriman，Menyerah sepenuhnya pada hatiku，dan menemukan kedamaian di dalamnya。		0				1						2	2	2			2						GoodMentality					
549	Human	1	0	pengemis	[NAME]Ben adalah seorang arsitek，mempunyai keluarga yang bahagia，Juga punya tabungan。Namun sebuah pengalaman yang tidak disengaja terjadi[IT]terobsesi dengan perjudian，Ini membuat[IT]bangkrut，Istri dan anak berpisah，Akhirnya menjadi pengemis。		0		-1	-1					4			4															
550	Human	1	0	anak hilang	[NAME]Asal usul keluarga，Itu setelah ilmiah。Tetapi[IT]Tapi capek memberi di rumah[IT]Mengatur jalan hidup untuk mendapatkan ketenaran。untuk tujuan ini[IT]Berlatih seni bela diri secara diam-diam，lari dari rumah，Menjadi anak hilang yang melakukan perjalanan antara Shilin dan Jianghu。		0	1	1	1	2		3		2						3												
551	Human	1	2	Gembala Qing	[NAME]Ini adalah putri seorang jenderal，Ayahnya terlibat dalam pemberontakan dan keluarganya hancur.，Hidup di dunia。\n[IT]Karena bakat dan penampilannya yang luar biasa, dia mampu menjadi seorang Qinghuan，Tidak perlu mengabdikan diri pada keramahtamahan。Namun kehidupan yang genting membuat[IT]Merasa putus asa。		0		-1	3																							
552	Human	1	2	aktor	[NAME]tampan，terpilih menjadi aktor。bersama dengan[IT]Menjadi lebih terkenal，[IT]Mampu memasuki kediaman beberapa pejabat untuk tampil，Ini membuat[IT]Merasakan kehidupan yang lain。[IT]Mulailah menjadi utilitarian，Saya ingin menjadi kaya dan menghilangkan identitas saya sebagai aktor。		0	1		2					4		2		2		4							BeautifulFace1					
553	Human	1	2	wanita kembang api	[NAME]Ia dijual oleh ayahnya sejak ia masih kecil untuk melunasi hutangnya，Jadi dia tinggal di gang kembang api dan anggur。\nBertahun-tahun mengembara dalam debu，[IT]Aku sudah terbiasa dengan semua keburukan di dunia。Tetapi[IT]Jauh di lubuk hati saya, saya masih percaya akan masa depan。		0	1		1	1				4		2				4	2						Optimistic					
554	Human	1	0	pemelihara lebah	[NAME]adalah seorang peternak lebah，[IT]Terbuka，fasih，[ITS]Kefasihan meyakinkan banyak orang[IT]Madu yang dijual lebih sehat dibandingkan madu biasa，Bahkan bisa memperpanjang umur。Karena itu，Banyak orang dari luar kota yang melakukan perjalanan khusus untuk membelinya.[ITS]Sayang。		0			1					6			2	2														
555	Human	1	2	teledek	[NAME]adalah seorang penari，Dia adalah tulang punggung tim akar rumput。[IT]Memiliki masa lalu yang sangat menyedihkan，Oleh karena itu, saya menganggap tim ini sebagai rezeki emosional saya.，Berusaha keras。		0		1	2					4						4							Depressed					
556	Human	1	1	pelacak perahu	[NAME]Tidak pernah bersekolah，Tanpa kekuatan apa pun[IT]Mencari nafkah sebagai pelacak di sungai。Karena otak saya tidak terlalu cerdas，[IT]Selalu diintimidasi oleh orang lain，Tetapi[IT]Anda bahkan tidak menyadari bahwa orang lain menindas Anda[IT]，Kegembiraan bodoh sepanjang hari。		0		4		-2																	Optimistic					
557	Human	1	0	Ruang hitung	[NAME]Akuntansi untuk perusahaan besar，[ITS]Pekerjaannya sangat berat，Menghitung aliran dan perubahan uang dalam jumlah besar sepanjang hari。di samping itu，Hal ini juga memungkinkan kami untuk menangani permohonan dan permintaan dari semua pihak[IT]Berpikir keras。		0		-1		2				4																		
558	Human	1	0	panti jompo	[NAME]Untuk membalas anugerah penyelamatan jiwa，Berfungsi sebagai panti jompo untuk dermawan lokal yang terkenal。[IT]Dedikasikan diri Anda pada pekerjaan Anda，Penjaga patroli yang sering begadang semalaman。\ndalam situasi kritis，[IT]Menghalangi pukulan fatal bagi majikannya，Ini membuat[ITS]Organ dalam terluka parah，Dan itu tidak akan sembuh dalam waktu lama。		0	2	2				4															OldViscusInjury					
559	Human	1	0	pengurus rumah tangga	[NAME]Kakeknya adalah pengurus perdana menteri dinasti tersebut。setelah kematian kakek，[IT]mewarisi posisi ini。\ndalam proses ini，[IT]Mau tidak mau dihadapkan pada banyak cerita kelam di dalam，Kegelapan di kantor-kantor resmi ini dengan cepat terkikis[IT]，membiarkan[IT]Menjadi berdarah dingin dan kejam。		0			2	2		2		6													Distrust					
560	Human	1	0	Tuan Manusia Gula	[NAME]Dia adalah pembuat permen yang sangat terampil.。[IT]Kecerdikan，Anda dapat membentuk permen menjadi berbagai bentuk seperti aslinya。\n[ITS]Dicintai oleh anak-anak dengan keahlian yang mendalam，[IT]juga menikmatinya。		0	2									3				3	3											
561	Human	1	0	penebang	[NAME]adalah seorang penebang pohon。Dalam beberapa tahun terakhir, istana kekaisaran telah melaksanakan proyek konstruksi ekstensif，[IT]Juga mengikuti pengawas berkeliling。\nSelama reklamasi lahan hutan，[IT]Mereka diserang oleh penduduk setempat yang marah，[IT]Kaki kanannya terinjak dalam kekacauan itu。		0		1									3										CrippleRight	Masculinity				
562	Human	1	0	buruh tambang	[NAME]Jual diri Anda ke tambang sebagai penambang。Menghabiskan sepanjang hari menambang di terowongan yang tidak pernah terlihat terang.[IT]Seperti lingkungan yang gelap。Kerja keras menghasilkan[IT]Memiliki tubuh yang kuat。		0		3	-1					-4			2		6								DarkPatience	Masculinity				
563	Human	1	0	Pengawas tambang	[NAME]Dia adalah keturunan dari keluarga besar，Ditugaskan untuk bekerja sebagai supervisor di salah satu tambang keluarga，[IT]Benci nasibnya sendiri dan pengaturan keluarganya，Melampiaskan kemarahan pada pekerja lebih banyak lagi。Ini membuat[IT]menjadi kejam dan kejam。		0						2					4		4								Cruel					
564	Human	1	0	penyihir	[NAME]Mengklaim mampu merasakan instruksi dari suatu keberadaan yang tidak dapat dijelaskan.，dan dengan bantuan[IT]Kekuatan kita mencari rezeki dan menghindari kemalangan。[IT]Menghabiskan beberapa tahun dalam bisnis，Menjadi penyihir yang sedikit terkenal。		0	2						6		2												GoodMentality					
565	Human	1	1	manusia ilahi	[NAME]Punya mimpi aneh，Dipanggil dalam mimpi“Tuhan”dipilih atas kemauan，Menjadi Juru Bicara Tuhan。\ntidak pandai dalam hal apa pun[IT]Pada awalnya, saya merasa panik，Namun seiring berjalannya waktu，[IT]Lambat laun saya belajar berbicara omong kosong tanpa mengubah ekspresi saya.，Dan secara bertahap kehilangan dirinya dalam kekuatan yang sangat besar，menjadi tidak masuk akal dan kejam。		0			1		3				-3	-3	-3	-3	-3	-3	-3						Cruel	BadMentality				
566	Human	1	0	Berkat Kuil Dewa Kota	[NAME]Itu adalah berkah dari Kuil Dewa Kota，[IT]Mantap dan murah hati。selama bertahun-tahun，Ada pameran kuil di kota kabupaten.[IT]Tangani semuanya secara pribadi，Mendapat dukungan dan kasih sayang dari sesama warga desa。		0			2					4		2	2	4		2							Affinity	Industrious				
567	Human	1	0	Nodoushi	[NAME]Dia adalah seorang pendeta Tao di kuil Tao yang tidak diketahui。[IT]Tidak ada ayah atau ibu，Tidak ada keterampilan，Membaca buku-buku Tao sepanjang hari dan berlatih tetapi tidak bisa memahaminya。Pada hari kerja, saya mencari nafkah dengan membantu pemakaman dan pernikahan dengan melakukan ritual.。		0							4																			
568	Human	1	0	pendekar pedang	[NAME]adalah seorang pendekar pedang，[IT]Dia pasti memakai topeng aneh saat mengambil tindakan，Jangan pernah menunjukkan warna aslimu kepada orang lain，Oleh karena itu, tidak ada seorang pun di dunia seni bela diri yang mengetahuinya[ITS]identitas。\n[IT]Ilmu pedang yang luar biasa，Secepat kilat，dalam legenda，[ITS]Saat pedang pembunuh dilepaskan，Tidak ada yang bisa menangkapnya[ITS]angka。		0	3	2		1		6			6												Warrior	Artist				
569	Human	1	0	penjaga hutan	[NAME]Dia adalah seorang ksatria yang merampok orang kaya dan memberi kepada orang miskin，Agar tidak diinginkan oleh pemerintah,，[IT]Tidak ada tempat tinggal tetap，Jadikan langit dan bumi sebagai rumahmu。		0	3	1	2			4					2	4														
570	Human	1	0	pembunuh	[NAME]mengalami kehidupan yang sangat miskin，selama waktu itu，[IT]Belajar menyembunyikan emosiku，Dan mengembangkan kesabaran yang luar biasa。Karena itu，[IT]Ditemukan oleh organisasi，Berlatihlah untuk menjadi pembunuh rahasia。\nDi atas permukaan，[IT]Mengoperasikan toko peti mati，Tapi secara diam-diam，[IT]Selalu menunggu perintah pembunuhan。		0	3					4			2		4				4											
571	Human	1	0	prajurit yang mati	[NAME]adalah seorang gangster，Sangat brutal dalam pertempuran，Terkenal karena tidak takut mati。Perkelahian geng lainnya，[IT]Terluka parah dan sekarat。Namun[ITS]Penampilannya diperhatikan oleh seorang pejabat yang lewat.，Pejabat itu diam-diam menyelamatkan[IT]，Akan[IT]Dilatih untuk menjadi pejuang kematiannya sendiri。		0		3				3															Warrior					
572	Human	1	0	pemanah silang	[NAME]Dia adalah seorang crossbowman elit yang bertugas di Tentara Habayashi.。Pelatihan menembak sepanjang tahun dilakukan[IT]penglihatan yang tajam，Tangguh dalam pertempuran[IT]Tenang di saat-saat sulit。		0	3	1				4															Warrior	GoodMentality				
573	Human	1	0	Pemanah	[NAME]Ben adalah seorang pemburu，[IT]Keterampilan memanah yang luar biasa，Mampu menembak rusa yang berlari kencang dari jarak seratus langkah。\nBelakangan para pemberontak memberontak，[IT]Terdaftar di tentara，Gunakan keahlian memanah Anda yang luar biasa untuk meninggalkan reputasi hebat di ketentaraan，Dia bahkan terpilih menjadi tim penembak jitu istana kekaisaran.。		0	3	1				4					2	2			2						Warrior	GoodMentality				
574	Human	1	0	pramuka	[NAME]Sangat terpesona dengan menunggang kuda，[IT]Suka menunggang kuda，Perasaan terbang ribuan mil。\n[IT]Kecintaannya pada kuda dan keterampilan berkuda yang luar biasa menarik perhatian garnisun setempat.，mereka inginkan[NAME]janji，jika[IT]Bersedia bergabung dengan tentara dan menerima pelatihan pramuka，Berikan saja[IT]Kuda-kuda yang berlari kencang。[NAME]Segera setuju。		0	2	1				3			2			2			2											
575	Human	1	0	apoteker	[NAME]Terutama suka mempelajari berbagai tanaman。[IT]Dapat dengan cepat dan akurat mengidentifikasi ciri-ciri dan fungsi berbagai tumbuhan di hutan。[IT]Untuk menggunakan bakatnya, ia menjadi seorang apoteker。		0	2			1					4			4			4											
576	Human	1	0	penjaga hutan	[NAME]Desa-desa dibangun menghadap pegunungan.，Hutan di gunung adalah tempat perlindungan alami mereka，Ini juga merupakan harta karun berupa kebutuhan dasar, makanan, perumahan dan transportasi.。 \nUntuk melindungi hutan ini，[NAME]Bergabunglah dengan tim penjaga hutan desa。		0	1	2				3			2	2	2	2														
577	Human	1	0	makelar	[NAME]Bersikaplah antusias，Bepergian dengan baik。[IT]Sangat pandai berpindah antar hubungan interpersonal，Ini membuat[IT]Menjadi broker yang baik。\n[IT]Setelah banyak pasang surut，Akhirnya, dia mengumpulkan banyak kekayaan di usia tiga puluhan.，Dan dia telah mengembangkan mentalitas luar biasa yang tidak terpengaruh oleh bantuan dan penghinaan.。		0			3	1				6													GoodMentality					
578	Human	1	0	pemilik kasino	[NAME]Bekerja keras di dunia bawah pada tahun-tahun awalnya，Tingkatkan secara bertahap dengan keterampilan nyata，Menginjak-injak banyak orang。\nSekarang，[IT]Mengoperasikan beberapa kasino besar，[ITS]Kekuasaan tersebar di dunia hitam dan putih，Menjadi dominan di wilayah setempat，Katakan yang sebenarnya。		0		2		1		3																				
579	Human	1	0	Petani Gu	[NAME]Awalnya penduduk kota kecil di perbatasan selatan。Selama serangan barbar，[IT]Diambil sebagai tahanan。\nDipaksa oleh orang barbar[IT]Melakukan pekerjaan berbahaya dalam membudidayakan serangga beracun——Orang-orang di industri ini mudah tertular serangga beracun dan mati.。\nKehidupan yang genting dan kematian tragis yang dilakukan rekan-rekannya[IT]Menjadi sangat rentan terhadap mimpi buruk。		0					2				4	2		3			2						HeartKnot					
580	Human	1	1	orang kasim	[NAME]Untuk keluar dari kehidupan yang miskin，Rela meninggalkan jati dirinya sebagai laki-laki dan menyelinap ke istana untuk menjadi kasim muda。Berpikiran mendalam dan mendambakan kekuasaan[IT]Dalam perjalanannya, saya akhirnya menjadi terkenal.，Menjadi kasim yang kuat。\nNamun, setiap kali saya memikirkan sakitnya pengebirian,，[IT]Mereka semua akan dihantui penyesalan。		0	1	-1		1				6	2					4	2						HeartKnot	BanPenis				
581	Human	1	0	pemilik tanah kecil	[NAME]Saya menghasilkan banyak uang dengan berbisnis，Namun[NAME]Secara alami malas，[IT]Bosan dengan intrik di mall，Hanya ingin bersenang-senang dan makan，Jalani hidup tanpa melakukan apa pun。\nKemudian[NAME]Saya kembali ke kampung halaman dan membeli sebidang tanah.，Menjadi pemilik tanah kecil。		0			1	3				2			3	6														
582	Human	1	1	wajah kepala	[NAME]Terlahir tampan，[IT]Difoto oleh saudara perempuan kaisar yang bermoral，menjadi wajahnya。\nManfaatkan kecantikan Anda sendiri，[IT]Mengamankan banyak kondisi yang menguntungkan bagi keluarganya，Namun, hal itu juga mengundang kecemburuan wajah-wajah lain.。terakhir[IT]dibingkai oleh konspirasi，kehilangan dukungan。		0			4					6						4	4						BeautifulFace2					
583	Human	1	0	mengintai	[NAME]Menjalankan toko kelontong di Beijing，[IT]terlihat biasa saja，Tidak pandai berkata-kata，Dia adalah orang yang tampak sangat biasa。\nNamun[IT]Tapi dia adalah mata-mata rahasia yang dikembangkan dengan cermat oleh negara musuh.，[IT]Dilatih untuk menguasai Qinggong tingkat lanjut dan keterampilan menguping，Mengintai di ibu kota，Ikuti perkembangan tren pengadilan sebanyak mungkin。		0	2	2				4		3		3					4											
584	Human	1	0	maling	[NAME]mencuri untuk mencari nafkah，Tetapi[ITS]Teknologi yang sangat buruk，sering tertangkap，Selalu dikalahkan oleh massa yang marah。\nPengalaman tragis ini membuat[IT]Penuh dengan luka，Ini membuat[ITS]Mencuri semakin sulit。		0	-1	-1			-1	2																				
585	Human	1	0	pencopet	[NAME]Memiliki kepekaan magis，[IT]Sekilas Anda bisa tahu apakah seseorang punya uang atau tidak.，Di mana uangmu?。Karena itu，[IT]Dapat dengan mudah menargetkan mereka yang tidak menaruh curiga，dari[IT]Uang ditemukan di tubuh mereka。		0	4				1		4																			
586	Human	1	0	orang baik yang hebat	[NAME]Dia adalah orang baik yang terkenal dari seluruh negeri.，[IT]ketertiban umum yang mendesak，dermawan，Reputasi yang baik tersebar luas。\n[NAME]Arti mimpi berjalan melintasi sungai dan danau，Hanya saja saya terlalu lemah untuk berlatih bela diri，Oleh karena itu, saya suka mendukung gangster yang sedang down-and-out.。		0		-2	4					6						3												
587	Human	1	1	bakat yang belum dirangkai	[NAME]Ingin mendapatkan ketenaran，Namun gagal setelah upaya berulang kali。Kegagalan lagi dan lagi membuat[IT]menggambarkan kuyu，Diperas hingga kering[ITS]tubuh dan pikiran。		0	-2	-2	-2	1				-4	2	2	2	2		3	2						HealthOverdraft2					
588	Human	1	0	Petugas makanan istana	[NAME]Dia adalah pejabat makanan di istana，[IT]Bertanggung jawab untuk mencicipi makanan yang diberikan kepada kaisar setiap hari untuk melihat apakah memenuhi standar。\nsampai batas tertentu，Ini adalah kehidupan di mana Anda bisa membuka mulut untuk mencari makanan，[NAME]sehingga menjadi malas dan dekaden。		0	2							4		6		2									Lazy					
589	Human	1	0	yamen	[NAME]Dia adalah pejabat pemerintah，[IT]Bertanggung jawab menjaga penjara，dan mengeksekusi tahanan bila diperlukan。\n[NAME]Saya sangat menyukai perasaan tongkat itu memukul daging saya dengan keras.，Ini membuat[IT]Saya merasa hidup saya beruntung。		0		1	-2			3															Cruel					
590	Human	1	0	Penari Singa	[NAME]Tinggalkan kampung halaman Anda yang miskin untuk mencari nafkah，[IT]Bergabunglah dengan rombongan untuk pertunjukan tur。\nKarena[IT]Kelincahan，Setia，Pemimpin rombongan mempercayakan proyek penting barongsai kepada[IT]，[IT]Dia sering mendapat tepuk tangan atas penampilannya yang luar biasa.。		0	3	1	1					2	2												Enthusiasm					
591	Human	1	0	Pendeta Tao	[NAME]Karena tubuh pada dasarnya lemah，Tinggal di kuil Tao setempat dalam waktu lama untuk memulihkan tubuh。kontak jangka panjang[IT]Memiliki minat yang kuat pada konsep Tao，Segera dia menjadi pendeta Tao。		0	1			3			5		3			3			3						GoodMentality					
592	Human	1	1	biarawan	[NAME]Hancur karena kemunduran emosional yang parah。Untuk melarikan diri dari dunia ini[IT]rasa sakitnya，[IT]Putuskan benang kekhawatiran，Menjadi seorang biarawan。		0	1			1			4				3	3									GoodMentality	NoHair				
593	Human	1	0	Pemimpin kuil Tao	[NAME]Dia adalah pemilik kuil Tao kecil di pedesaan.。[IT]Selain melantunkan sutra dan mengamalkan Taoisme setiap hari，Dia sering menggunakan keterampilan medisnya untuk membantu sesama penduduk desa mengobati penyakit mereka.。\nKarena itu，[ITS]Meskipun kuil Tao berskala kecil，Namun reputasi dupa di daerah setempat tidaklah kecil.。		0				2			4		5			3									Enthusiasm					
594	Human	1	0	Pemilik desa	[NAME]Dia adalah pemilik desa pegunungan，Mencari nafkah dengan menjarah pedagang yang lewat。\n[NAME]Meskipun dia berkecimpung dalam bisnis bandit，Tapi sangat berprinsip，Jika Anda tidak menolak，Tidak akan pernah menyakiti hidup siapa pun。		0		2				6					3															
595	Human	1	0	Dokter yang mengancam jiwa	[NAME]Seorang dokter terkenal di generasinya，[ITS]Keterampilan medis luar biasa。Tapi suatu kali setelah merawat orang yang berkuasa,，[IT]Namun kebaikannya dibalas dengan kebencian oleh pasiennya sendiri.。\n[IT]Sejak saat itu, temperamennya berubah drastis，Dia mulai menggunakan keterampilan medisnya untuk mengambil nyawa tanpa meninggalkan jejak.。[IT]Pertama-tama, dia mengambil nyawa seluruh keluarga orang berkuasa yang telah membalas kebaikannya dengan sepenuh hati.。		0				2		3			7																	
596	Human	1	0	Keruntuhan surgawi	[NAME]Terjadi keruntuhan di kampung halaman saya，[IT]adalah satu-satunya yang selamat。[IT]Energi kekerasan memasuki tubuhnya selama runtuhnya langit dan dia menderita penyakit serius.，Namun karena ini, saya memperoleh perasaan energi yang melebihi orang biasa.。		0	3		-1				6														HealthOverdraft2					
597	Human	1	0	Benci kehancuran	[NAME]Rumahnya dihancurkan oleh aliran sesat dan desanya dibantai.。Ini membuat[IT]kehilangan semua kerabat mereka，dan memberi[IT]Menanam benih kebencian di hatiku。[NAME]bertekad membalas dendam，[IT]Jangan pernah membuang waktu untuk hal-hal sepele dalam hidup。		0			-2		-1	4,2	2,1														NoMeticulousWork					
598	Human	1	0	malam yang dingin	[NAME]Saya pernah mengalami bencana malam yang dingin。Dingin dan gelap selama berbulan-bulan，Pengalaman lapar dan kedinginan pun terjadi[IT]Sangat terobsesi dengan makanan。		0					2					4																
599	Human	1	0	Wabah serangga	[NAME]Ada serangan serangga di kota tempat saya tinggal.：Semua makanan hewan dimakan oleh serangga，Orang hanya bisa bersembunyi di gua untuk bersembunyi。untuk bertahan hidup，Selama wabah serangga yang berlangsung lebih dari sepuluh hari,，Setiap orang hanya bisa memakan serangga untuk memuaskan rasa laparnya。Pengalaman-pengalaman mengerikan ini menjadi[NAME]Mimpi buruk yang tidak bisa dihapus。		0	1	-1			2																HeartKnot					
600	Human	1	0	Bermainlah dengan api dan bakar diri Anda sendiri	[NAME]Saya menyukai api sejak saya masih kecil，Suatu ketika, bermain api secara diam-diam menyebabkan kebakaran。Meskipun[IT]Selamat dari bencana karena keberuntungan，Tapi bencana itu terjadi[IT]Meninggalkan bekas luka yang mengerikan di sekujur tubuh。		0		-1			2			-4													UglyFace2					
601	Human	1	0	api selamat	[NAME]Rumah itu terbakar menjadi abu oleh api，Ini membuat[IT]meninggalkan kenangan buruk。Meski menimbulkan bencana[IT]menjadi kuat，Tapi sampai hari ini，[NAME]Jika Anda melihat api, Anda akan sangat takut hingga kehilangan akal sehat.。		0									1	1	4	1	1		1						FearFlame					
602	Human	1	0	sambaran petir	[NAME]Pernah tersambar petir，Saya tidak akan pernah bisa berjalan seperti orang normal mulai sekarang.。Tapi sejak itu，[ITS]Pikiran yang sangat jernih，Pelajari berbagai hal dengan cepat。		0	-2	-2		3																	CrippleLeft	CrippleRight				
603	Human	1	0	Penuh dengan racun aneh	[NAME]Ketika saya masih kecil, saya tidak sengaja mengambil tanaman misterius.，Karena racun aneh di dalam tubuh ini。Racun ini akan[IT]tubuh yang lemah，tapi biarkan juga[IT]Memiliki persepsi yang sangat tajam。		0	5	-2					4																			
604	Human	1	0	orang buta	[NAME]Saya pernah mengalami kecelakaan dan kehilangan penglihatan.，Namun, hal ini menginspirasi[IT]keinginan untuk bertarung。di tahun-tahun berikutnya，[IT]Membuat prestasi luar biasa dalam bidang seni，Menjadi artis buta yang terkenal。		0			3											8,2							BanLeftEye	BanRightEye				
605	Human	1	0	Benih Gu sesat	[NAME]Pernah ditanami serangga beracun oleh biksu pemujaan，Sebagai wadah budidaya serangga voodoo。Meskipun biksu pemujaan ini kemudian dimusnahkan，[IT]Juga diselamatkan，Tapi pengalaman mengerikan ini juga memberi saya[ITS]Tubuhnya telah meninggalkan luka yang tak terhapuskan。		0	-3	-5			5		6														HealthOverdraft2					
